scoring,scr+chp
0.905,0.912
0.825,0.894
0.781,0.862
0.765,0.766
0.447,0.562
0.435,0.305
0.411,0.301
0.38,0.283
0.376,0.266
0.292,0.263
0.241,0.262
0.213,0.245
0.002,0.221
0.001,0.219
0.0,0.213
0.0,0.21
0.0,0.195
0.0,0.194
0.0,0.194
0.0,0.175
0.0,0.16
0.0,0.158
0.0,0.154
0.0,0.135
0.0,0.121
0.0,0.1
0.0,0.088
0.0,0.086
0.0,0.08
0.0,0.0
