#{"t_start": 1629404781.206076, "env_id": null}
r,l,t
0.0,23,0.128847
0.0,61,0.41959
0.0,101,0.899764
0.0,101,1.367764
0.0,99,1.827443
0.0,24,1.950975
0.0,27,2.090759
0.0,86,2.502615
0.0,101,2.98451
0.0,26,3.12147
0.0,67,3.427243
0.0,13,3.509231
0.0,101,3.995073
0.0,29,4.151237
0.0,101,4.604633
0.0,101,5.062212
0.0,32,5.23991
0.0,78,5.601554
0.0,13,5.682557
0.0,101,6.13493
0.0,47,6.372285
0.0,22,6.492108
0.0,62,6.778999
0.0,101,7.25208
0.0,101,7.724685
0.0,27,7.861977
0.0,101,8.32283
0.0,101,8.788471
0.0,63,9.105102
0.0,46,9.331487
0.0,101,10.762242
0.0,101,11.298855
0.0,101,11.768736
0.0,54,12.045599
0.0,19,12.160888
0.0,101,12.648427
0.0,101,13.109229
0.0,30,13.273587
0.0,71,13.598783
0.0,25,13.727958
0.0,101,14.181279
0.0,101,14.657388
-1.0,86,15.060909
0.0,101,15.555876
0.0,101,16.042434
0.0,101,16.518661
0.0,58,16.783911
0.0,23,16.90545
0.0,57,17.169389
0.0,24,17.302495
0.0,80,17.676303
0.0,101,18.141808
0.0,81,18.526487
0.0,37,18.711506
0.0,101,19.185841
0.0,53,19.432847
0.0,40,19.639484
0.0,22,19.759198
0.0,18,19.860926
0.0,101,20.329619
0.0,23,20.450034
0.0,58,21.696266
0.0,101,22.160165
0.0,46,22.399562
0.0,14,22.484004
0.0,59,22.751579
0.0,41,22.959315
0.0,101,23.434367
0.0,101,23.921107
0.0,33,24.090859
0.0,87,24.504304
0.0,31,24.668532
0.0,38,24.855339
0.0,13,24.935199
0.0,53,25.203326
0.0,35,25.384987
0.0,90,25.801481
0.0,65,26.109342
0.0,101,26.578719
0.0,77,26.946127
0.0,57,27.209707
0.0,32,27.373394
0.0,101,27.847975
0.0,101,28.3247
0.0,64,28.63114
0.0,81,29.011913
0.0,35,29.191713
0.0,42,29.405693
0.0,101,29.869284
0.0,83,30.253248
0.0,46,30.488351
0.0,101,30.977227
0.0,56,31.236585
0.0,101,32.687832
0.0,101,33.159872
0.0,101,33.634394
0.0,101,34.111722
0.0,41,34.32136
0.0,17,34.427019
0.0,60,34.700638
0.0,64,34.998014
0.0,101,35.479539
0.0,68,35.803419
0.0,55,36.059787
0.0,58,36.330738
0.0,49,36.564322
0.0,101,37.039009
0.0,61,37.320382
0.0,30,37.476005
0.0,101,37.946251
0.0,49,38.179934
0.0,43,38.387357
0.0,100,38.861545
0.0,61,39.16702
0.0,101,39.646059
0.0,101,40.0927
0.0,101,40.577757
0.0,101,41.034237
0.0,52,41.279905
0.0,101,41.750382
0.0,53,41.998574
0.0,101,43.425033
0.0,54,43.679615
0.0,101,44.152133
0.0,56,44.408365
0.0,23,44.533996
-1.0,95,44.977903
0.0,101,45.430091
0.0,96,45.878826
0.0,71,46.199284
0.0,101,46.677113
0.0,61,46.958564
0.0,101,47.432866
0.0,101,47.924248
0.0,21,48.041337
0.0,101,48.516359
0.0,19,48.617269
0.0,31,48.77797
0.0,101,49.252654
0.0,101,49.715544
0.0,101,50.183406
0.0,101,50.655354
0.0,101,51.127592
0.0,101,51.623084
0.0,19,51.73067
0.0,101,52.215618
0.0,97,53.617245
0.0,101,54.085806
0.0,23,54.214881
0.0,85,54.645151
0.0,101,55.135563
0.0,19,55.243344
0.0,37,55.426487
0.0,93,55.852547
0.0,30,56.007427
0.0,38,56.213715
0.0,101,56.679248
0.0,101,57.14275
0.0,101,57.6068
0.0,31,57.767796
0.0,99,58.237516
0.0,101,58.708658
0.0,101,59.170564
0.0,74,59.511619
0.0,67,59.825063
0.0,101,60.329341
0.0,101,60.792366
0.0,18,60.891866
0.0,49,61.130004
0.0,74,61.46489
0.0,101,61.967086
0.0,81,62.351549
0.0,37,62.545475
0.0,79,62.921779
0.0,81,63.303192
0.0,101,64.768342
0.0,39,64.972507
0.0,101,65.450176
0.0,36,65.639701
