#{"t_start": 1630080311.2808447, "env_id": null}
r,l,t
0.0,101,0.458401
0.0,101,0.912699
0.8,56,1.211699
0.8,43,1.434587
0.8,40,1.624233
0.8,39,1.833971
0.0,101,2.282225
0.8,29,2.446625
0.8,24,2.576892
0.8,46,2.790604
0.0,101,3.278991
0.8,19,3.38824
0.8,95,3.849717
0.8,98,4.334484
0.8,40,4.541226
0.8,53,4.828161
0.7,64,5.162703
0.8,11,5.238033
0.8,57,5.524776
0.8,21,5.644112
0.8,101,6.137829
0.8,81,6.519399
0.8,36,6.702806
0.0,101,7.1577
0.8,24,7.286961
0.8,32,7.462157
0.8,38,7.661178
0.8,23,7.792228
0.8,33,7.96664
0.8,21,8.090888
0.8,26,8.234976
0.8,22,8.363014
0.8,17,8.463673
0.8,26,8.610461
0.8,31,8.783722
0.8,37,8.986167
0.0,101,9.455406
0.8,37,9.64342
0.8,27,9.794455
0.8,11,9.870082
0.8,55,10.141217
0.8,35,11.363933
0.8,101,11.814602
0.8,58,12.121355
0.7,49,12.369068
0.8,12,12.448819
0.8,25,12.589274
0.0,101,13.105434
0.8,18,13.215216
0.8,12,13.295634
0.8,39,13.494217
0.0,101,13.943683
0.8,46,14.16895
0.8,18,14.277584
0.8,22,14.403807
0.8,11,14.480567
0.8,23,14.610247
0.0,101,15.06612
0.8,31,15.234718
0.0,101,15.686476
0.8,44,15.891975
0.8,13,15.979496
0.8,46,16.217289
0.8,73,16.582693
0.8,37,16.79087
0.8,51,17.061837
0.8,44,17.301328
0.8,18,17.412915
0.0,101,17.968039
0.8,20,18.09531
0.8,31,18.272648
0.8,42,18.493395
0.8,30,18.649112
0.8,101,19.163034
0.8,42,19.374156
0.8,69,19.733277
0.8,13,19.831464
0.8,54,20.155113
0.0,101,20.752007
0.9,38,20.98874
0.8,101,21.526771
0.8,101,21.972706
0.8,101,23.50317
0.0,101,23.973955
0.8,23,24.107728
0.8,33,24.298047
0.8,27,24.467336
0.8,66,24.801671
0.8,23,24.926367
0.0,101,25.397291
0.8,40,25.631033
0.8,76,26.008966
0.8,36,26.19471
0.0,101,26.718194
0.8,70,27.028393
0.8,16,27.126823
0.8,22,27.249798
0.8,32,27.423476
0.8,15,27.514448
0.8,32,27.682701
0.8,31,27.847823
0.8,39,28.058262
0.8,24,28.196532
0.8,31,28.368248
0.8,63,28.695131
0.8,45,28.923507
0.8,40,29.140116
0.8,42,29.364884
0.8,24,29.508223
0.0,101,29.970407
0.8,15,30.062769
0.8,65,30.393307
0.8,23,30.525256
0.8,99,31.036519
0.8,18,31.142902
0.8,59,31.40667
0.8,13,31.48912
0.0,101,31.940442
0.8,54,32.206473
0.8,94,32.6426
0.8,46,32.878098
0.9,101,33.381121
0.8,37,34.604305
0.8,44,34.840828
0.0,22,34.962994
0.8,74,35.342444
0.0,94,35.777211
0.8,95,36.200217
0.8,51,36.444197
0.8,64,36.768412
0.8,34,36.94954
0.8,35,37.14659
0.8,60,37.441425
0.0,101,37.89819
0.8,101,38.339543
0.8,36,38.515909
0.8,101,38.993286
0.8,47,39.232017
0.8,15,39.32273
0.8,46,39.552765
0.8,55,39.808326
0.8,28,39.959033
0.8,24,40.092862
0.0,101,40.560219
0.8,42,40.774585
0.8,43,41.000383
0.8,63,41.31459
0.0,16,41.415743
0.8,9,41.481555
0.8,78,41.859515
0.8,16,41.955961
0.8,47,42.191722
0.8,40,42.404462
0.8,12,42.483708
0.8,40,42.669727
0.8,21,42.812944
0.8,22,42.950603
0.8,44,43.169365
0.9,24,43.304456
0.8,67,43.622154
0.8,41,43.837425
0.8,43,44.066255
0.8,101,44.52071
0.8,25,45.683452
0.8,44,45.889436
0.8,20,46.00567
0.8,33,46.184674
0.8,39,46.379911
0.0,101,46.82745
0.8,58,47.115404
0.8,49,47.365449
0.8,30,47.532398
0.8,40,47.738869
0.0,101,48.193331
0.7,43,48.423764
0.8,45,48.635473
0.0,101,49.087863
0.8,82,49.497576
0.8,31,49.665804
0.8,97,50.148964
0.8,27,50.29775
0.8,59,50.592585
0.8,72,50.942036
0.8,20,51.062939
0.8,33,51.244518
0.0,101,51.699908
0.8,26,51.837264
0.0,101,52.29569
0.8,81,52.687605
0.8,51,52.933868
0.8,36,53.12273
0.0,101,53.600983
0.0,101,54.050667
0.9,35,54.238581
0.8,12,54.317765
0.8,19,54.431828
0.8,25,54.584466
0.8,45,54.836623
0.8,24,54.972164
0.8,25,55.114775
0.8,49,55.366839
0.0,101,56.835685
0.0,101,57.282801
0.8,70,57.642548
0.8,33,57.816108
0.6,35,58.008569
0.9,101,58.481014
0.0,16,58.58112
0.8,31,58.749768
0.8,68,59.085108
0.8,41,59.283658
0.8,12,59.363287
0.8,28,59.521899
0.8,36,59.710394
0.8,43,59.924801
0.8,34,60.10284
0.8,72,60.428641
0.8,56,60.699965
0.8,22,60.824362
0.8,22,60.952508
0.8,74,61.336627
0.8,13,61.420924
0.8,41,61.629525
0.8,57,61.897969
0.8,17,61.999096
0.8,13,62.084348
0.8,62,62.408512
0.8,48,62.644227
0.8,18,62.749532
0.8,47,62.970799
0.9,26,63.113245
0.7,66,63.44222
0.8,18,63.546428
0.8,16,63.647399
0.8,19,63.764122
0.8,41,63.973357
0.8,45,64.210839
0.9,44,64.440485
0.8,65,64.776319
0.8,27,64.924373
0.8,44,65.131733
0.0,101,65.570549
0.8,11,65.648705
0.8,21,65.768687
0.8,52,66.024398
0.8,35,66.2114
0.8,101,66.69778
0.8,11,66.772881
0.8,56,67.057805
0.8,75,68.450512
0.8,66,68.779376
0.8,35,68.964435
0.8,71,69.313447
0.8,29,69.462361
0.8,16,69.559137
0.8,12,69.640359
0.8,20,69.759861
0.8,22,69.878585
0.8,23,70.007995
0.8,42,70.211179
0.8,11,70.287166
0.8,27,70.432072
0.8,21,70.551657
0.8,43,70.78282
0.8,68,71.128098
0.8,22,71.255003
0.8,15,71.346148
0.8,16,71.44822
0.0,101,71.902854
0.8,33,72.076178
0.8,16,72.175025
0.9,42,72.394441
0.0,101,72.837879
0.8,42,73.057452
0.8,44,73.264814
0.8,21,73.382591
0.8,19,73.493178
0.8,25,73.626225
0.8,12,73.705667
0.8,22,73.829339
0.8,16,73.92544
0.8,52,74.175454
0.0,101,74.629349
0.0,96,75.070059
0.8,10,75.141045
0.8,101,75.582379
0.8,12,75.662439
0.8,23,75.790384
0.8,29,75.940898
0.8,28,76.095015
0.8,101,76.563906
0.8,23,76.694029
0.8,9,76.760273
0.8,49,77.016132
0.8,31,77.18099
0.8,46,77.412799
0.8,13,77.4959
0.8,16,77.593366
0.8,101,78.037781
0.8,76,78.404042
0.8,12,78.486087
0.8,15,78.577077
0.8,12,79.680049
0.8,40,79.894808
0.8,95,80.36903
0.0,101,80.831484
0.8,15,80.923793
0.8,85,81.323361
0.8,57,81.602886
0.8,33,81.773948
0.8,12,81.853606
0.8,12,81.929471
0.8,43,82.128785
0.0,101,82.582116
0.8,64,82.873974
0.8,10,82.945427
0.8,21,83.067711
0.8,37,83.262112
0.8,36,83.451663
0.8,66,83.765768
0.8,16,83.863961
0.8,12,83.94516
0.8,34,84.124484
0.8,22,84.251107
0.0,101,84.70402
0.8,98,85.158986
0.8,12,85.241149
0.8,53,85.489994
0.8,16,85.584631
0.0,101,86.049044
0.8,22,86.168563
0.8,52,86.433425
0.8,25,86.572366
0.6,94,86.99114
0.8,35,87.180725
0.8,14,87.268668
0.8,19,87.376709
0.8,18,87.477586
0.8,20,87.591999
0.8,21,87.711725
0.8,35,87.886029
0.0,101,88.343956
0.8,12,88.42468
0.8,12,88.50547
0.8,23,88.62684
0.8,16,88.723866
0.8,52,88.967937
0.8,39,89.165696
0.8,16,89.268077
0.8,57,89.565331
0.8,23,89.689262
0.8,94,91.171432
0.8,18,91.28227
0.8,48,91.531067
0.9,12,91.614081
0.8,55,91.877569
0.8,23,92.004506
0.9,74,92.375158
0.8,63,92.702096
0.8,43,92.922884
0.8,70,93.27927
0.8,66,93.581954
0.8,16,93.680165
0.8,19,93.80226
0.8,26,93.938843
0.8,101,94.389923
0.8,43,94.618371
0.8,53,94.886178
0.8,53,95.129613
