#{"t_start": 1629996084.5204952, "env_id": null}
r,l,t
0.0,72,0.402952
0.0,29,0.557053
0.0,47,0.782761
0.0,39,0.984858
0.0,20,1.105871
0.0,52,1.375318
0.0,60,1.749924
0.0,31,1.941275
0.0,101,2.487383
0.0,65,2.846306
0.0,101,3.350395
0.0,22,3.477421
0.0,15,3.574372
0.0,23,3.710768
0.0,79,4.11611
0.0,13,4.204799
0.0,40,4.39935
0.0,101,4.882752
0.0,58,5.15713
0.0,101,5.620634
0.0,28,5.782461
0.0,23,5.919852
0.0,27,6.072717
0.0,28,6.227563
0.0,101,6.691744
0.0,67,7.043638
0.0,28,7.192477
0.0,33,7.375798
0.0,101,7.833786
0.0,47,8.078586
0.0,13,8.161924
0.0,72,8.511322
0.0,31,8.690955
0.0,55,8.973102
0.0,13,9.062076
0.0,44,9.270799
0.0,45,9.511158
0.0,38,9.713983
0.0,28,9.880239
0.0,14,9.970783
0.0,42,10.185688
0.0,21,10.305552
0.0,20,10.420063
0.0,16,10.515547
0.0,101,12.012538
0.0,63,12.307229
0.0,38,12.503126
0.0,78,12.904367
0.0,101,13.365768
0.0,70,13.715885
0.0,17,13.816747
0.0,14,13.903579
0.0,30,14.064328
0.0,25,14.203092
0.0,16,14.3028
0.0,12,14.384347
0.0,32,14.563695
0.0,33,14.742243
0.0,101,15.212467
0.0,57,15.489648
0.0,18,15.603096
0.0,101,16.067154
0.0,40,16.277749
0.0,101,16.763876
0.0,69,17.123811
0.0,62,17.423824
0.0,60,17.742508
0.0,28,17.901949
0.0,101,18.364242
0.0,38,18.560007
0.0,12,18.643637
0.0,101,19.086072
0.0,17,19.188292
0.0,101,19.689567
0.0,18,19.801348
0.0,27,19.944468
0.0,39,20.164526
0.0,58,20.462233
0.0,41,20.678262
0.0,13,20.764715
0.0,73,21.164722
0.0,101,21.634848
0.0,101,23.166288
0.0,66,23.51184
0.0,13,23.598713
0.0,101,24.062567
0.0,22,24.190822
0.0,101,24.664303
0.0,48,24.911002
0.0,101,25.440793
0.0,55,25.724043
0.0,101,26.2003
0.0,12,26.280866
0.0,56,26.567421
0.0,16,26.671549
0.0,46,26.909759
0.0,18,27.01799
0.0,17,27.123318
0.0,24,27.260668
0.0,14,27.348994
0.0,29,27.507837
0.0,83,27.894442
0.0,21,28.018018
0.0,20,28.137973
0.0,45,28.372798
0.0,101,28.846718
0.0,90,29.285294
0.0,37,29.471381
0.0,56,29.724293
0.0,91,30.199304
0.0,12,30.281299
0.0,38,30.480371
0.0,37,30.679462
0.0,57,30.966154
0.0,42,31.199912
0.0,29,31.364005
0.0,36,31.561028
0.0,18,31.678113
0.0,10,31.752093
0.0,101,32.236558
0.0,101,32.684513
0.0,19,32.796777
0.0,42,33.02763
0.0,28,33.178071
0.0,20,33.292475
0.0,33,33.476005
0.0,38,34.756903
0.0,26,34.907934
0.0,45,35.146304
0.0,12,35.228228
0.0,22,35.36043
0.0,52,35.64222
0.0,68,35.998337
0.0,84,36.409373
0.0,26,36.55356
0.0,23,36.687029
0.0,15,36.782184
0.0,22,36.911249
0.0,50,37.173787
0.0,18,37.279643
0.0,88,37.687561
0.0,17,37.789662
0.0,58,38.089762
0.0,56,38.361637
0.0,18,38.469707
0.0,34,38.657346
0.0,18,38.769371
0.0,48,39.024427
0.0,83,39.45068
0.0,12,39.532746
0.0,32,39.706539
0.0,101,40.188706
0.0,101,40.680085
0.0,86,41.101667
0.0,45,41.344332
0.0,18,41.452757
0.0,101,41.933619
0.0,17,42.040187
0.0,101,42.509199
0.0,32,42.679203
0.0,101,43.151
0.0,46,43.390641
0.0,11,43.467005
0.0,14,43.559423
0.0,36,43.745268
0.0,41,43.96584
0.0,21,44.097067
0.0,46,44.349584
0.0,30,44.518587
0.0,15,44.612195
0.0,56,44.898166
0.0,65,45.203007
0.0,41,46.498158
0.0,27,46.647667
0.0,41,46.856845
0.0,26,47.004669
0.0,101,47.526352
0.0,97,47.983896
0.0,16,48.085475
0.0,47,48.312993
0.0,40,48.519317
0.0,49,48.76154
0.0,101,49.288467
0.0,43,49.521409
0.0,61,49.81926
0.0,25,49.962037
0.0,21,50.087638
0.0,69,50.414767
0.0,21,50.53799
0.0,97,51.040011
0.0,14,51.132244
0.0,42,51.342595
0.0,55,51.64335
0.0,22,51.771366
0.0,39,51.972723
0.0,31,52.148168
0.0,28,52.305927
0.0,42,52.518633
0.0,101,52.983577
0.0,18,53.090952
0.0,101,53.55534
0.0,40,53.763435
0.0,31,53.933357
0.0,36,54.11706
0.0,34,54.299626
0.0,62,54.624292
0.0,23,54.754411
0.0,49,55.004671
0.0,16,55.104796
0.0,41,55.315736
0.0,101,55.831025
0.0,45,56.081813
0.0,34,56.288569
0.0,52,56.630044
0.0,31,56.831848
0.0,101,58.482624
0.0,12,58.567324
0.0,56,58.861372
0.0,15,58.956833
0.0,30,59.127426
0.0,13,59.21293
0.0,76,59.603803
0.0,41,59.811858
0.0,101,60.283213
0.0,31,60.456894
0.0,55,60.724951
0.0,45,60.96652
0.0,13,61.056771
0.0,23,61.190317
0.0,33,61.364515
0.0,14,61.455225
0.0,16,61.553101
0.0,101,62.00249
0.0,13,62.089216
0.0,23,62.222526
0.0,12,62.304336
0.0,15,62.399016
0.0,40,62.597107
0.0,38,62.798044
0.0,13,62.893508
0.0,22,63.018957
0.0,22,63.148893
0.0,18,63.258262
0.0,35,63.440081
0.0,16,63.539455
0.0,15,63.632558
0.0,101,64.10031
0.0,47,64.326247
0.0,15,64.42107
0.0,47,64.666184
0.0,11,64.742992
0.0,16,64.84221
0.0,23,64.980438
0.0,25,65.124506
0.0,43,65.346701
0.0,39,65.551784
0.0,27,65.701483
0.0,53,65.990726
0.0,101,66.481608
0.0,23,66.613377
0.0,28,66.772958
0.0,24,66.91175
0.0,36,67.112198
0.0,101,67.586983
0.0,13,67.673055
0.0,24,67.817098
0.0,26,67.961497
0.0,41,68.172968
0.0,40,68.372377
0.0,31,68.540849
0.0,24,68.677472
0.0,40,68.871217
0.0,101,70.418426
0.0,17,70.518945
0.0,27,70.670227
0.0,20,70.791151
0.0,68,71.114435
0.0,101,71.580876
0.0,33,71.755347
0.0,41,71.960936
0.0,15,72.055931
0.0,32,72.230488
0.0,48,72.466222
0.0,12,72.548198
0.0,10,72.622342
0.0,31,72.792764
0.0,13,72.879264
0.0,34,73.055918
0.0,13,73.140909
0.0,28,73.294188
0.0,101,73.763107
0.0,52,74.042646
0.0,12,74.125143
0.0,18,74.234989
0.0,14,74.326083
0.0,12,74.407876
0.0,15,74.502664
0.0,11,74.579362
0.0,45,74.791246
0.0,26,74.930101
0.0,35,75.124033
0.0,69,75.480002
0.0,19,75.58928
0.0,22,75.720133
0.0,34,75.908141
0.0,58,76.223207
0.0,91,76.651736
0.0,19,76.765325
0.0,22,76.897327
0.0,14,76.999634
0.0,49,77.291817
0.0,45,77.547161
0.0,53,77.85321
0.0,101,78.440217
0.0,57,78.750141
0.0,101,79.24039
0.0,35,79.443765
0.0,29,79.627961
0.0,72,79.999515
0.0,47,80.257369
0.0,47,80.548101
0.0,101,81.122203
0.0,63,82.617625
0.0,24,82.761718
0.0,18,82.878918
0.0,14,82.97803
0.0,25,83.132919
0.0,18,83.254196
0.0,16,83.369788
0.0,12,83.45901
0.0,23,83.602894
0.0,11,83.682218
0.0,26,83.834924
0.0,26,83.989314
0.0,22,84.124873
0.0,27,84.279711
0.0,18,84.396313
0.0,18,84.520289
0.0,33,84.704884
0.0,19,84.830241
0.0,58,85.153664
0.0,101,85.670507
0.0,60,86.004645
0.0,17,86.113175
0.0,36,86.308548
0.0,14,86.404473
0.0,48,86.663613
0.0,12,86.749234
0.0,28,86.908043
0.0,22,87.042557
0.0,32,87.23817
0.0,55,87.533108
0.0,14,87.628262
0.0,34,87.824188
0.0,17,87.934526
0.0,42,88.138028
0.0,31,88.306292
0.0,21,88.429595
0.0,13,88.516489
0.0,33,88.694337
0.0,101,89.251585
0.0,61,89.551964
0.0,10,89.626433
0.0,37,89.836347
0.0,11,89.917469
0.0,12,90.003128
0.0,56,90.28565
0.0,10,90.360562
0.0,26,90.515234
0.0,45,90.732217
0.0,101,91.219879
0.0,24,91.362161
0.0,57,91.634854
0.0,32,91.817045
0.0,44,92.059203
0.0,14,92.152016
0.0,13,92.237968
0.0,25,92.380578
0.0,62,92.698448
0.0,11,92.775076
0.0,43,92.992515
0.0,27,93.139903
0.0,42,93.355432
0.0,101,93.883181
0.0,37,95.149
0.0,16,95.246865
0.0,45,95.48516
0.0,94,95.947466
0.0,20,96.06928
0.0,45,96.3156
0.0,29,96.518167
0.0,25,96.668303
0.0,29,96.85577
0.0,31,97.073213
0.0,32,97.276374
0.0,21,97.413233
0.0,101,97.916674
0.0,101,98.445729
0.0,101,99.005832
0.0,54,99.317443
0.0,31,99.502821
