#{"t_start": 1630072406.7474928, "env_id": null}
r,l,t
0.0,101,0.460625
0.8,68,0.810339
0.8,38,1.021308
0.8,47,1.25385
0.8,20,1.375114
0.9,20,1.508506
0.8,87,1.99743
0.8,101,2.490733
0.8,19,2.610258
0.8,42,2.827729
0.8,22,2.954604
0.0,24,3.098808
0.8,101,3.585256
0.8,19,3.703676
0.8,24,3.846518
0.8,51,4.137643
0.8,101,4.607375
0.8,46,4.867822
0.8,31,5.033527
0.8,74,5.417604
0.8,45,5.647719
0.8,28,5.801361
0.8,50,6.057446
0.8,44,6.270741
0.8,17,6.373055
0.8,57,6.669513
0.9,68,7.061172
0.0,101,7.569134
0.8,49,7.844115
0.8,27,7.988319
0.8,17,8.095436
0.8,12,8.178926
0.8,35,8.381691
0.8,21,8.512766
0.8,13,8.60162
0.8,17,8.715835
0.0,101,9.178245
0.8,44,9.42598
0.8,16,9.530079
0.8,39,9.768544
0.0,101,10.3772
0.0,101,10.927083
0.8,11,12.128099
0.8,60,12.428645
0.8,18,12.551333
0.8,18,12.675065
0.8,24,12.827393
0.8,101,13.359119
0.8,40,13.616052
0.8,27,13.797744
0.8,18,13.909474
0.8,65,14.236466
0.8,30,14.404053
0.7,37,14.60299
0.0,101,15.065578
0.8,37,15.24444
0.8,16,15.346868
0.8,36,15.53452
0.8,13,15.618652
0.8,17,15.732129
0.8,31,15.918019
0.8,11,15.999218
0.8,30,16.167682
0.8,35,16.3672
0.8,13,16.457276
0.0,101,16.938742
0.7,20,17.060668
0.8,15,17.155573
0.8,43,17.384822
0.8,12,17.464505
0.8,45,17.700232
0.8,16,17.803357
0.8,31,17.979878
0.0,101,18.439935
0.8,12,18.522489
0.8,14,18.612705
0.8,63,18.948327
0.8,20,19.078709
0.8,58,19.388079
0.0,101,19.895976
0.0,101,20.3525
0.8,48,20.577428
0.8,19,20.695142
0.0,101,21.155587
0.8,20,21.275388
0.8,20,21.39707
0.0,17,21.507202
0.8,39,21.710035
0.8,40,21.912428
0.8,22,22.047387
0.8,41,22.286547
0.8,41,22.515849
0.8,40,22.743309
0.8,45,22.981074
0.8,45,24.294773
0.8,30,24.485415
0.8,51,24.792756
0.0,101,25.392675
0.8,101,25.915047
0.0,16,26.021926
0.8,12,26.103852
0.8,46,26.344037
0.8,54,26.618056
0.8,40,26.820783
0.8,26,26.967222
0.8,36,27.152362
0.8,37,27.35601
0.8,31,27.52435
0.8,28,27.683846
0.8,19,27.797346
0.8,31,27.977547
0.0,101,28.535281
0.8,61,28.888031
0.8,33,29.060163
0.8,23,29.18775
0.0,101,29.681396
0.8,16,29.787826
0.8,39,30.011735
0.8,18,30.123145
0.8,101,30.599432
0.8,31,30.790492
0.8,19,30.921619
0.8,17,31.03033
0.8,22,31.168187
0.8,81,31.597478
0.8,10,31.679187
2.0,20,31.815373
0.0,101,32.325094
0.8,28,32.487551
0.0,101,32.949628
0.0,26,33.088508
0.0,101,33.548744
0.8,22,33.678387
0.8,61,34.010974
0.0,101,34.49254
0.8,15,34.592261
0.8,49,34.86455
0.8,63,35.158985
0.8,101,36.727695
0.8,25,36.892106
0.8,74,37.269306
0.8,20,37.400559
0.8,70,37.780272
0.0,101,38.259449
0.8,40,38.48205
0.0,101,38.958754
0.8,26,39.110962
0.8,43,39.347017
0.8,43,39.582842
0.8,26,39.735459
0.8,12,39.826056
0.8,22,39.967526
0.8,36,40.19237
0.8,33,40.406869
0.8,41,40.644462
0.8,24,40.804436
0.8,82,41.26471
0.8,86,41.684327
0.8,12,41.77064
0.8,20,41.888612
0.0,101,42.421852
0.8,16,42.534414
0.8,33,42.749378
0.8,32,42.941311
0.8,41,43.158707
0.8,21,43.288694
0.8,22,43.425236
0.8,18,43.539276
0.8,27,43.695574
0.8,25,43.845142
0.8,25,44.008234
0.8,45,44.286003
0.8,51,44.573594
0.8,43,44.814009
0.8,53,45.097186
0.8,24,45.244956
0.8,20,45.366307
0.8,34,45.544489
0.8,75,45.955559
0.8,43,46.18305
0.8,73,46.617852
0.8,101,47.095756
0.8,34,47.272618
0.8,44,47.497725
0.8,64,48.960174
0.8,101,49.534864
0.0,101,50.116247
0.8,35,50.311561
0.0,101,50.779435
0.8,30,50.945285
0.8,101,51.494087
0.8,38,51.730119
0.8,32,51.93611
0.8,33,52.125768
0.8,51,52.393645
0.8,48,52.667832
0.8,60,53.019893
0.8,41,53.217386
0.8,25,53.356721
0.8,12,53.43961
0.8,70,53.815394
0.9,63,54.184674
0.8,23,54.325644
0.8,19,54.444748
0.8,52,54.715001
0.8,15,54.816627
0.8,54,55.098729
0.8,36,55.346104
0.8,63,55.702736
0.8,101,56.202876
0.0,101,56.672138
0.8,23,56.801908
0.8,29,56.958482
0.0,101,57.413916
0.8,32,57.58937
0.8,25,57.745399
0.8,42,57.960739
0.8,54,58.25975
0.0,101,58.771175
0.8,24,58.920093
0.8,23,59.05455
0.8,11,59.131721
0.8,34,59.311438
0.8,55,59.639661
0.8,52,61.06089
0.8,16,61.165064
0.8,38,61.37517
0.8,12,61.471577
0.8,21,61.611569
0.0,101,62.116083
0.8,45,62.370012
0.8,35,62.556602
0.8,27,62.712811
0.8,28,62.883957
0.8,24,63.035774
0.8,28,63.199457
0.8,101,63.696927
0.8,25,63.859721
0.8,12,63.953764
0.8,22,64.091232
0.8,31,64.264985
0.8,24,64.417768
0.8,53,64.730653
0.0,20,64.8582
0.8,42,65.082486
0.8,11,65.164985
0.8,20,65.292371
0.8,20,65.415133
0.8,43,65.664892
0.8,29,65.840931
0.8,48,66.106223
0.8,11,66.184815
0.8,30,66.349415
0.8,33,66.519344
0.8,54,66.801784
0.9,62,67.145772
0.8,60,67.480521
0.8,23,67.622964
0.8,39,67.842974
0.8,34,68.032014
0.8,18,68.140083
0.8,39,68.345636
0.8,78,68.781231
0.8,12,68.86084
0.8,22,68.989849
0.8,18,69.118543
0.8,101,69.625735
0.8,28,69.791945
0.8,38,69.994406
0.8,15,70.096373
0.8,22,70.228948
0.8,13,70.321933
0.8,101,70.824138
0.8,54,71.111007
0.8,16,71.223398
0.8,39,71.433739
0.8,101,71.908018
0.8,21,72.032266
0.0,101,73.593227
0.0,101,74.081007
0.8,19,74.204554
0.8,16,74.308035
0.8,55,74.622675
0.0,101,75.129526
0.8,73,75.459968
0.9,47,75.700521
0.8,30,75.87062
0.0,101,76.337519
0.9,63,76.659404
0.8,17,76.768568
0.8,34,76.964102
0.8,20,77.081546
0.8,29,77.240256
0.8,36,77.483974
0.8,16,77.589486
0.8,101,78.115862
0.8,12,78.202816
0.8,32,78.385757
2.0,17,78.489802
0.8,51,78.769774
0.8,16,78.881828
0.8,41,79.122882
0.8,51,79.38294
0.8,55,79.68924
0.8,42,79.917708
0.0,89,80.340112
0.8,35,80.516834
0.8,22,80.648093
0.8,30,80.820355
0.8,16,80.918933
0.8,23,81.052572
0.8,21,81.169895
0.8,23,81.29605
0.8,37,81.483143
0.8,61,81.821489
0.0,101,82.315407
0.8,18,82.431082
0.8,32,82.627115
0.8,15,82.728616
0.0,101,83.191579
0.8,50,83.449642
0.8,40,83.640492
0.8,17,83.749393
0.8,15,83.845932
0.8,18,83.950511
0.8,13,84.036521
0.9,56,84.319614
0.8,21,85.556222
0.8,18,85.674104
0.8,12,85.763113
0.8,19,85.88096
0.8,17,85.987703
0.8,81,86.352656
0.8,13,86.436779
0.8,40,86.631389
0.8,11,86.714179
0.8,51,86.989364
0.0,101,87.483315
0.8,30,87.650457
0.8,40,87.866642
0.8,56,88.170552
0.8,53,88.444684
0.8,52,88.72483
0.8,45,88.95385
0.8,18,89.061164
0.8,40,89.259759
0.8,39,89.460502
0.0,15,89.556597
0.8,49,89.815686
0.8,101,90.303035
0.8,20,90.426128
0.0,101,90.911403
0.8,37,91.117706
0.8,67,91.492405
0.8,37,91.696544
0.8,17,91.806663
0.0,101,92.278629
0.8,25,92.42052
0.8,19,92.532458
0.8,25,92.672294
0.8,15,92.764392
0.8,19,92.875481
0.8,21,92.991697
0.8,14,93.081763
0.8,15,93.17566
0.9,24,93.309092
0.8,45,93.537117
0.0,20,93.659595
0.8,30,93.830911
0.8,49,94.109227
0.8,18,94.225612
0.8,49,94.498421
0.8,101,94.989456
0.8,12,95.070385
0.8,20,95.189027
0.8,46,95.428211
0.8,24,95.566729
0.8,29,95.729992
0.8,21,95.848959
0.8,19,95.964083
0.8,30,96.126727
0.0,16,96.234473
0.9,101,97.838042
0.8,42,98.039002
0.8,15,98.1328
0.8,55,98.414024
0.8,14,98.50386
0.8,27,98.653924
0.8,18,98.758733
0.8,41,98.965135
0.8,35,99.148345
0.8,19,99.259808
0.8,49,99.508739
0.8,78,99.927995
0.8,50,100.224061
0.8,31,100.420043
0.0,85,100.87752
0.8,101,101.417842
0.8,40,101.634391
0.8,19,101.759409
0.0,15,101.865207
0.8,13,101.958046
0.8,15,102.054859
0.8,41,102.301106
0.8,45,102.514114
0.8,23,102.644988
0.8,37,102.845536
0.8,35,103.044406
0.8,28,103.207144
0.8,13,103.301625
0.8,37,103.509161
0.8,23,103.650826
0.8,32,103.836217
0.8,88,104.272716
0.8,47,104.520551
0.8,52,104.78783
0.8,20,104.902789
0.8,26,105.048348
0.0,101,105.51794
0.4,98,106.073153
0.8,49,106.35632
0.0,101,106.900537
0.8,70,107.257861
0.8,24,107.399534
0.8,34,107.600095
0.8,24,107.74968
0.8,41,107.989664
0.8,16,108.097963
0.8,50,108.392495
0.8,41,108.621718
0.8,22,108.760598
0.8,73,110.246849
0.8,101,110.718007
0.0,101,111.210287
0.8,21,111.339346
0.0,101,111.794034
0.8,26,111.948036
0.8,14,112.054871
0.8,47,112.329817
