#{"t_start": 1629217975.569686, "env_id": null}
r,l,t
0.1,16,0.094774
0.1,71,0.431028
0.1,23,0.558884
0.1,20,0.663545
0.0,101,1.139885
0.1,22,1.257999
0.1,62,1.54321
0.0,101,1.991003
0.1,49,2.239524
0.1,25,2.367776
0.0,101,2.840837
0.0,101,3.314547
0.1,20,3.423485
0.1,24,3.554378
0.1,70,3.886258
0.1,65,4.191901
0.1,101,4.675384
0.1,57,4.937994
0.1,28,5.08531
0.1,19,5.187562
0.1,45,5.412833
0.1,65,5.715864
0.1,43,5.927084
0.0,101,6.386719
0.0,101,6.866019
0.1,56,7.124621
0.1,35,7.304562
0.1,59,7.606502
0.0,22,7.719673
0.0,101,8.170004
0.1,20,8.279573
0.1,21,8.391461
0.0,40,8.599112
0.1,22,8.719257
0.1,39,8.91865
0.1,77,9.264256
0.0,99,9.733458
0.0,101,11.225552
0.0,101,11.706712
0.0,101,12.155875
0.0,82,12.549079
0.0,101,13.021029
0.1,60,13.29485
0.1,20,13.405405
0.1,22,13.526649
0.0,101,14.008078
0.1,62,14.303533
0.1,101,14.738493
0.0,101,15.203806
0.0,50,15.448592
-0.9,46,15.668853
0.0,101,16.227615
0.1,96,16.688553
0.0,66,16.996737
0.1,17,17.090596
0.1,28,17.231789
0.0,101,17.70655
0.1,101,18.162406
-0.9,52,18.413603
0.0,101,18.882471
0.1,17,18.978145
0.0,101,19.454488
0.1,65,19.754742
0.1,49,19.986185
0.1,60,20.270404
0.1,27,20.408085
0.1,75,21.78305
0.1,101,22.235004
0.1,25,22.364003
0.1,21,22.473933
0.1,91,22.907466
0.1,22,23.023193
0.1,64,23.323335
0.1,86,23.733066
0.1,59,24.008011
0.0,101,24.487982
0.4,101,24.961502
0.0,64,25.293195
0.0,101,25.747315
0.1,101,26.186364
0.1,58,26.469017
0.1,20,26.580691
0.1,23,26.705241
0.1,57,26.970823
0.0,101,27.441196
0.0,101,27.911239
0.1,101,28.387365
0.0,101,28.854955
0.1,101,29.317656
0.1,23,29.437697
0.1,59,29.712491
0.1,81,30.083146
0.1,14,30.165812
0.1,101,30.604039
0.1,92,31.015441
0.1,98,32.478054
0.0,23,32.601962
0.0,101,33.076388
0.1,57,33.344612
0.1,85,33.746321
0.1,101,34.232917
0.1,36,34.409923
0.0,101,34.880592
0.1,32,35.039628
0.1,101,35.500765
0.0,101,35.965996
0.1,86,36.376914
0.1,68,36.688833
0.1,59,36.968252
0.4,101,37.462054
0.1,57,37.733345
0.1,22,37.854278
0.1,53,38.099912
0.1,55,38.346954
0.1,28,38.4929
0.1,25,38.622518
0.0,101,39.098541
0.1,31,39.256871
0.1,15,39.340686
0.1,17,39.437035
0.1,30,39.590121
