#{"t_start": 1629330366.431607, "env_id": null}
r,l,t
0.1,50,5.064543
0.0,76,5.414481
0.1,43,5.619817
0.1,54,5.853001
0.1,55,6.089522
0.1,60,6.347549
0.0,101,6.814799
0.2,45,7.013718
0.1,32,7.160925
0.1,25,7.283399
0.0,101,7.694949
0.1,94,8.086848
0.0,101,8.529441
0.1,16,8.615809
0.0,26,8.748352
0.1,27,8.886811
0.0,101,9.334978
0.1,50,9.555285
0.0,101,10.007838
0.1,18,10.103814
0.1,54,10.334867
0.1,20,10.438781
0.0,36,10.621716
0.0,101,11.044343
0.1,14,11.123463
0.1,20,11.225677
0.1,33,11.391642
0.1,77,11.715054
0.1,84,12.073552
0.1,101,12.480986
0.3,89,12.878932
0.1,64,13.177114
0.0,101,13.652935
0.1,34,13.820439
0.1,28,13.960962
0.0,101,15.427058
0.1,54,15.682789
0.1,47,15.890321
0.1,38,16.071207
0.0,101,16.512238
0.0,15,16.594125
0.1,49,16.836835
0.0,101,17.275226
0.1,43,17.478597
0.0,19,17.580432
0.1,27,17.719676
0.1,39,17.8926
0.2,101,18.32694
0.1,17,18.417661
0.1,14,18.49657
0.0,101,18.907887
0.1,80,19.241993
0.1,23,19.36025
0.1,76,19.688078
0.1,74,20.004359
0.1,90,20.378172
0.2,72,20.69918
0.1,14,20.777775
0.0,101,21.214609
0.1,13,21.293911
0.0,101,21.705293
0.0,101,22.118375
0.0,101,22.571306
0.0,101,23.004627
0.1,85,23.366053
0.2,72,23.699901
0.0,93,24.08951
0.1,101,25.519318
0.0,101,25.948105
0.1,25,26.074092
0.0,101,26.52097
0.1,18,26.618086
0.1,101,27.045447
0.0,101,27.468174
0.2,20,27.572447
0.1,25,27.700234
0.1,25,27.826941
0.1,55,28.067979
0.0,101,28.485224
0.1,50,28.702994
0.1,16,28.790683
0.1,21,28.900406
0.1,101,29.340709
0.1,51,29.58076
0.1,43,29.781265
0.0,101,30.205854
0.1,101,30.629863
0.1,18,30.726318
0.1,57,30.977101
0.1,32,31.121762
0.1,63,31.387564
0.1,72,31.706308
0.1,80,32.057272
0.0,101,32.474711
0.1,21,32.584618
0.1,72,32.891532
0.0,56,33.129458
