#{"t_start": 1629318409.9211335, "env_id": null}
r,l,t
0.1,16,0.099905
0.0,84,0.49332
0.1,101,0.968819
0.0,101,1.418379
0.1,16,1.507204
0.1,27,1.647506
0.1,83,2.01857
0.1,35,2.196191
0.0,101,2.654728
0.1,34,2.82321
0.0,101,3.295237
0.1,28,3.441588
0.2,101,3.924534
0.1,79,4.29537
0.1,16,4.387391
0.2,101,4.858938
0.1,31,5.021593
0.0,101,5.481689
0.0,101,5.949342
0.1,28,6.099042
0.1,101,6.563392
0.1,50,6.78986
0.0,101,7.249545
0.1,21,7.359452
0.1,101,7.808346
0.0,101,8.279586
0.0,101,8.731736
0.1,33,8.898582
0.0,26,9.044236
0.1,101,9.50245
0.1,85,10.871377
0.0,101,11.332033
0.2,101,11.797716
0.0,24,11.924872
0.1,101,12.394609
0.1,14,12.477561
0.1,31,12.63553
0.1,52,12.883183
0.1,31,13.041594
0.0,101,13.489975
0.1,89,13.896821
0.0,101,14.347069
-0.9,94,14.762344
0.0,101,15.203717
0.0,76,15.549835
0.1,95,15.975085
0.1,48,16.211885
0.2,82,16.597884
0.1,20,16.710871
0.0,26,16.839318
0.1,53,17.088864
0.0,101,17.552192
0.1,101,18.003117
0.1,19,18.110559
0.1,70,18.42031
0.1,37,18.610376
0.0,101,19.066102
0.0,21,19.185982
0.1,25,19.319364
0.0,101,19.778099
0.1,101,21.225307
0.1,75,21.561519
0.0,101,22.037289
0.1,101,22.468849
0.0,101,22.906288
0.1,21,23.019141
0.0,101,23.477254
0.0,24,23.611723
0.0,13,23.690677
0.1,86,24.078804
0.1,42,24.285101
0.1,23,24.411337
0.1,14,24.496548
0.1,28,24.640288
0.0,101,25.084963
0.0,101,25.566449
0.1,15,25.652048
0.1,22,25.768669
0.1,28,25.913994
0.0,101,26.380358
0.1,49,26.609746
0.1,19,26.714312
0.1,101,27.158771
0.1,56,27.413285
0.0,101,27.875081
0.2,101,28.369806
0.1,101,28.801099
0.1,60,29.075099
0.0,101,29.543357
0.1,101,30.009981
0.1,101,30.484629
0.1,17,30.579792
0.0,101,32.004157
0.1,70,32.322595
0.1,35,32.48953
0.1,27,32.638488
0.0,101,33.12483
0.1,101,33.582775
0.0,101,34.033525
0.1,40,34.234039
0.1,97,34.684241
0.0,101,35.165577
0.1,72,35.488892
0.1,56,35.765004
0.1,26,35.897212
0.0,24,36.024943
0.1,17,36.125303
0.1,30,36.280849
-1.0,98,36.713612
0.1,43,36.93027
0.1,22,37.05002
0.1,17,37.144392
0.1,71,37.464923
0.1,18,37.564114
0.1,77,37.922084
0.1,13,38.004624
0.1,30,38.164093
0.2,52,38.420775
0.1,26,38.556269
0.0,60,38.830133
0.0,101,39.293953
0.0,101,39.739117
0.2,101,40.198318
0.1,52,40.438498
0.1,101,40.906308
0.0,82,42.264019
0.0,101,42.729197
0.1,21,42.845131
0.1,44,43.068404
0.1,35,43.252831
0.1,13,43.330163
0.1,21,43.443542
0.1,78,43.800719
0.1,15,43.888476
0.1,69,44.20407
0.1,21,44.31792
0.1,101,44.778104
0.1,33,44.950214
0.3,96,45.408715
0.1,42,45.621294
0.0,101,46.055461
0.0,91,46.466407
0.1,56,46.723597
0.1,34,46.893152
0.0,60,47.171051
0.1,19,47.277676
0.1,101,47.750001
0.1,101,48.215388
0.1,67,48.513304
0.2,42,48.722239
0.1,53,48.971666
0.0,21,49.088416
0.0,101,49.557237
0.1,20,49.666069
0.0,101,50.121413
0.1,17,50.219434
0.0,40,50.418384
0.1,16,50.510272
0.1,20,50.620716
0.1,73,50.962734
0.1,22,51.083007
0.1,54,51.349257
0.0,101,51.808188
0.1,84,53.171508
0.1,75,53.52079
0.1,47,53.738658
0.1,23,53.863041
0.1,18,53.966841
0.1,19,54.070572
0.0,101,54.530384
0.0,101,54.997572
0.1,21,55.112239
0.0,101,55.569185
0.0,101,56.044797
0.2,68,56.363639
0.1,101,56.817815
0.1,94,57.231213
0.1,54,57.476862
0.0,101,57.942005
0.1,49,58.173524
0.1,25,58.303716
0.1,20,58.416316
0.1,29,58.562937
0.0,101,59.009445
0.1,101,59.465034
0.0,101,59.923591
0.1,55,60.175022
0.0,66,60.477369
0.0,101,60.921745
0.1,72,61.248666
0.1,19,61.351745
0.1,19,61.453033
0.1,74,61.805195
0.1,32,61.970206
0.1,90,62.377248
0.1,26,62.516037
0.1,23,63.624523
0.1,34,63.801531
0.1,30,63.961074
0.0,68,64.270785
0.1,47,64.493288
0.1,101,64.980767
0.1,24,65.107971
0.1,23,65.231516
0.1,24,65.364175
0.1,20,65.471808
0.1,20,65.578946
0.1,54,65.829184
0.1,38,66.023008
0.1,26,66.16287
0.1,46,66.38442
0.1,95,66.812692
0.1,71,67.147504
0.1,31,67.305779
0.1,37,67.486527
0.0,101,67.932542
0.1,19,68.038952
0.2,32,68.192631
0.1,101,68.647681
0.1,84,69.018931
0.1,35,69.193879
0.0,101,69.654924
0.1,97,70.079842
0.0,101,70.550881
0.0,101,70.986252
0.1,70,71.303967
0.1,65,71.59829
0.1,55,71.868652
0.0,101,72.322036
0.0,101,72.766183
0.0,101,74.234265
0.0,16,74.324073
0.1,17,74.417135
0.1,101,74.881814
0.1,13,74.969117
0.0,101,75.448603
0.2,28,75.594874
0.1,30,75.751769
0.1,100,76.191082
0.1,82,76.568375
0.0,101,77.01199
0.1,18,77.113852
0.0,101,77.557242
0.1,14,77.646849
0.1,21,77.763197
0.1,55,78.019135
0.1,15,78.110216
0.1,89,78.527008
0.2,54,78.787124
0.1,101,79.236709
0.1,16,79.329951
0.0,42,79.533784
0.2,39,79.726708
0.1,45,79.952501
0.1,38,80.137319
0.1,17,80.233416
0.0,101,80.687831
0.1,30,80.841372
0.1,20,80.950472
0.1,14,81.034815
0.1,100,81.488859
0.1,101,81.91672
0.0,101,82.333903
0.0,101,82.777314
0.1,21,82.889311
0.1,20,83.001
0.2,31,83.156898
0.1,35,83.328562
0.1,45,83.554672
0.0,101,85.012021
0.1,28,85.155574
0.2,85,85.560769
0.1,23,85.68491
0.1,29,85.832858
0.0,101,86.271188
0.0,101,86.714838
0.1,14,86.79905
0.1,78,87.159942
0.1,24,87.291066
0.1,26,87.429432
-0.9,47,87.650752
0.1,24,87.780827
0.1,72,88.121185
0.2,101,88.581302
0.0,88,88.988009
0.1,36,89.16583
0.1,26,89.30137
0.1,30,89.454427
0.0,101,89.90051
0.1,101,90.365851
0.0,40,90.570609
0.0,101,91.034721
0.4,91,91.470604
0.1,43,91.687341
0.1,101,92.158614
0.3,35,92.343704
0.1,26,92.478174
0.0,101,92.92134
0.1,83,93.299821
0.1,21,93.41408
0.1,34,93.589552
0.1,22,93.708337
0.1,61,93.994593
0.1,40,94.199423
0.0,101,95.620174
0.1,14,95.704839
0.1,37,95.896883
0.1,22,96.013174
0.1,101,96.478423
0.0,101,96.929011
0.1,30,97.086231
0.1,14,97.170691
0.1,19,97.27522
0.1,30,97.427963
0.1,19,97.530397
0.1,82,97.954172
0.1,20,98.065615
0.1,24,98.191391
0.1,19,98.296984
0.1,26,98.433772
0.1,16,98.529512
0.3,34,98.698258
0.1,61,98.979499
0.0,68,99.313361
0.1,22,99.432998
0.1,30,99.58762
0.1,17,99.682462
0.1,18,99.785456
0.2,50,100.027722
0.1,33,100.197873
0.1,101,100.664754
0.0,101,101.116111
0.1,49,101.343475
0.1,46,101.563162
0.1,84,101.94868
0.1,20,102.069439
0.1,56,102.338
0.1,50,102.58085
0.1,32,102.740666
0.1,18,102.843469
0.4,101,103.340207
0.1,53,103.589071
0.1,35,103.77024
0.1,29,103.924513
0.1,31,104.084705
0.1,73,104.447757
0.1,14,104.53036
0.1,37,104.719094
0.1,23,104.842352
0.0,41,105.046038
0.1,51,105.303637
0.0,78,106.666353
0.1,67,106.986892
0.1,49,107.223129
0.1,66,107.533888
0.1,15,107.623788
0.1,60,107.898473
0.1,38,108.092849
0.1,19,108.201558
0.1,15,108.289395
0.1,29,108.438174
0.1,65,108.767294
0.1,53,109.014545
0.1,58,109.298161
0.1,75,109.647074
0.1,70,109.990433
0.1,21,110.108155
0.1,16,110.199392
0.1,23,110.32364
0.1,19,110.428666
0.1,58,110.700067
0.1,24,110.826915
0.1,14,110.911207
0.1,24,111.04483
0.0,101,111.508543
0.4,101,111.992766
0.1,20,112.103647
0.1,25,112.240028
0.1,25,112.368487
-0.9,42,112.570776
0.1,55,112.839953
0.1,13,112.924828
0.1,32,113.096995
0.1,21,113.212457
0.0,101,113.676988
0.3,99,114.131797
0.1,37,114.325215
0.1,15,114.414121
0.1,19,114.520996
0.0,77,114.873596
0.1,23,115.002345
0.1,15,115.089274
0.1,28,115.236476
0.1,77,115.608225
0.1,52,115.87191
0.1,46,116.090185
0.1,40,116.296046
0.1,15,116.385632
0.1,30,116.545662
0.1,43,117.763818
0.1,33,117.943288
0.2,70,118.272458
0.1,29,118.423962
0.1,33,118.588363
0.1,62,118.869635
0.1,101,119.332171
0.1,29,119.480376
0.1,101,119.986037
0.1,17,120.082221
0.1,46,120.317418
0.1,56,120.600596
0.1,92,121.05722
0.1,16,121.15082
0.1,101,121.611666
0.0,60,121.90783
0.1,42,122.11897
0.1,19,122.22699
0.1,63,122.516924
0.1,19,122.623898
0.1,101,123.093482
0.1,92,123.52122
0.1,25,123.653179
0.1,21,123.771424
0.1,22,123.890782
0.1,26,124.028017
0.1,26,124.168522
0.1,101,124.640193
0.0,96,125.081533
0.1,16,125.173501
-1.0,91,125.585234
0.1,24,125.716341
0.1,18,125.81957
0.1,73,126.158249
0.1,33,126.331962
0.1,45,126.552483
0.1,58,126.814953
0.1,33,126.985446
0.2,101,127.472122
0.1,25,127.605631
0.1,77,128.969933
0.1,57,129.238707
0.1,95,129.683643
0.1,17,129.785863
0.1,40,129.992192
0.1,19,130.098643
0.1,24,130.222409
0.1,16,130.32121
0.1,19,130.428518
0.1,15,130.519287
0.1,33,130.690356
0.1,20,130.803106
0.1,24,130.934333
0.1,27,131.076694
0.1,57,131.350285
0.2,46,131.578839
0.1,70,131.896977
0.0,101,132.366702
0.1,64,132.681291
0.0,101,133.136271
0.1,19,133.243632
0.1,22,133.36323
0.1,26,133.50249
0.1,18,133.60408
0.1,46,133.840917
0.1,16,133.937104
0.1,23,134.060632
0.1,32,134.226202
0.1,45,134.44515
0.1,16,134.537777
0.1,20,134.648504
0.1,19,134.753445
0.1,41,134.961662
0.0,101,135.431725
0.0,101,135.880503
0.1,44,136.094522
0.1,17,136.193592
0.1,26,136.331912
0.1,20,136.443159
0.1,66,136.744507
0.1,101,137.218671
0.1,21,137.334
0.1,44,137.541464
0.1,44,137.776068
0.1,63,138.092784
0.1,33,138.26423
0.1,53,138.526075
0.1,18,138.625482
0.1,78,139.993824
0.1,16,140.091086
0.1,31,140.256122
0.2,47,140.489093
