#{"t_start": 1629326284.2125366, "env_id": null}
r,l,t
0.1,17,0.104713
0.1,64,0.404582
0.1,101,0.859798
0.1,21,0.975739
0.1,40,1.179598
0.0,82,1.574096
0.3,101,2.078719
0.0,101,2.543326
0.1,29,2.692535
0.1,66,3.026298
0.0,101,3.474488
0.0,101,3.942053
0.1,59,4.217283
0.1,36,4.397813
0.1,18,4.498746
0.0,43,4.72168
0.1,15,4.817102
0.1,57,5.090392
0.0,101,5.56411
0.1,50,5.819726
0.1,38,6.014307
0.0,99,6.478791
0.0,101,6.951053
0.3,41,7.157459
0.0,97,7.613015
0.1,13,7.694307
0.1,52,7.944149
0.0,101,8.42903
0.1,26,8.56395
0.1,70,8.877501
0.1,70,9.242497
0.0,101,9.710618
0.1,101,11.145087
0.1,101,11.62772
0.0,101,12.117141
0.1,101,12.604655
0.0,101,13.073341
0.1,21,13.189901
0.0,72,13.535069
0.1,37,13.727195
0.1,64,14.032254
0.1,21,14.146128
0.1,20,14.254546
0.0,101,14.732396
-0.9,41,14.932541
0.1,70,15.263334
0.0,101,15.728148
0.2,101,16.246696
0.1,77,16.637853
0.1,33,16.813691
0.1,92,17.249273
0.1,101,17.703235
0.0,101,18.218807
0.1,37,18.404852
0.1,32,18.568259
0.1,75,18.936908
0.1,51,19.179454
0.1,72,19.538818
0.1,67,19.854569
0.0,101,20.345939
0.1,59,20.647222
0.0,101,22.088063
0.1,69,22.416763
0.1,21,22.532518
0.1,56,22.804744
0.1,50,23.046243
0.1,30,23.204751
0.0,101,23.681789
0.1,80,24.084071
0.0,41,24.306385
0.1,80,24.677879
0.1,101,25.152382
0.1,36,25.341417
0.0,101,25.816938
0.3,38,26.006385
-1.0,96,26.458467
0.0,101,26.920371
0.1,64,27.218746
0.0,101,27.69295
0.3,78,28.086497
0.1,65,28.388628
0.1,65,28.69174
0.1,42,28.903428
0.1,13,28.984495
0.1,52,29.251317
0.1,14,29.336995
0.1,19,29.451504
0.0,92,29.885903
0.0,25,30.018752
0.1,63,30.303938
0.0,101,30.765204
0.0,100,31.229612
0.1,47,31.461466
0.0,101,32.899504
0.1,60,33.18134
0.0,101,33.65889
0.1,57,33.928947
0.0,101,34.370555
0.1,24,34.496199
0.5,101,34.952541
0.1,49,35.181171
0.1,91,35.589007
0.3,101,36.085437
0.1,19,36.191332
0.1,26,36.325071
0.0,101,36.824289
0.0,101,37.291307
0.1,60,37.582273
0.1,88,38.001984
0.2,101,38.497099
0.0,101,38.971074
0.1,36,39.154432
0.1,57,39.429651
0.0,101,39.897567
0.1,22,40.017912
0.1,32,40.180012
0.0,60,40.456927
0.1,19,40.56184
0.1,20,40.669792
0.1,53,40.925112
0.1,63,41.216668
0.1,25,41.351782
0.1,23,41.475283
0.0,101,41.956308
0.1,52,42.225097
0.1,24,42.347866
0.1,58,43.60081
0.1,25,43.733289
0.1,50,43.972731
0.2,101,44.46006
0.1,23,44.58376
0.1,30,44.738984
0.1,29,44.897019
0.0,101,45.356931
0.1,44,45.578749
0.0,73,45.92283
0.0,101,46.394595
0.0,101,46.872165
0.1,26,47.01315
0.1,69,47.338378
0.1,46,47.571424
0.1,55,47.826412
0.1,60,48.115708
0.0,50,48.364243
0.1,23,48.487481
0.1,14,48.571243
0.1,64,48.866399
0.1,23,48.985775
0.1,52,49.250596
0.1,43,49.456338
0.1,28,49.604971
0.1,34,49.779242
0.0,101,50.244578
0.0,101,50.70778
0.1,101,51.168822
0.0,52,51.424654
0.1,60,51.703088
0.1,79,52.097975
0.0,101,52.588233
0.1,25,52.722582
0.1,56,52.988781
0.1,51,53.234193
0.0,101,54.6942
0.1,53,54.962134
0.1,67,55.274283
0.0,101,55.761769
0.0,101,56.234909
0.0,101,56.70059
0.1,26,56.835438
0.0,101,57.293848
0.1,14,57.3815
0.1,53,57.636047
0.1,15,57.722065
0.1,23,57.846462
0.1,32,58.018428
0.1,23,58.142694
0.1,65,58.444256
0.0,101,58.906025
0.3,101,59.416648
0.0,101,59.892698
0.1,25,60.026575
0.0,23,60.150054
0.1,57,60.419099
0.1,61,60.705053
0.1,18,60.807695
0.0,101,61.277303
0.1,50,61.511871
0.0,101,61.982912
0.1,35,62.165681
0.1,30,62.327498
0.1,14,62.411086
0.1,37,62.608247
0.1,101,63.097524
0.0,25,63.237419
0.1,71,63.570435
0.1,19,63.676329
0.1,69,63.989669
0.1,95,65.417386
0.1,22,65.541526
0.1,24,65.667357
0.1,58,65.95026
0.0,101,66.421873
0.1,14,66.50662
0.1,19,66.613011
0.1,23,66.732001
0.0,101,67.1997
0.1,24,67.329145
0.1,49,67.560658
0.1,66,67.907145
0.1,40,68.109396
0.1,38,68.293946
