#{"t_start": 1629346754.683285, "env_id": null}
r,l,t
0.1,83,0.385758
0.1,62,0.695232
0.0,101,1.205677
0.0,73,1.536247
0.0,101,1.999954
0.0,101,2.452362
0.1,13,2.541106
0.1,76,2.900164
0.1,54,3.151018
0.1,23,3.271926
0.0,52,3.524666
0.1,28,3.670686
0.0,101,4.150084
0.1,16,4.252675
0.1,15,4.343181
0.1,76,4.684139
0.0,96,5.10198
0.1,19,5.207171
0.1,52,5.455445
0.1,101,5.896684
0.1,24,6.026492
0.0,101,6.471835
0.1,27,6.615388
0.1,52,6.860205
0.0,14,6.943306
0.1,48,7.182437
0.1,89,7.57927
0.1,66,7.876818
0.1,18,7.978343
0.1,63,8.260573
0.1,50,8.49652
0.1,101,8.941665
0.0,101,9.419077
0.1,28,9.56716
0.1,28,10.719609
0.0,101,11.189969
0.1,41,11.402222
0.1,38,11.598975
0.0,101,12.063581
0.1,15,12.153735
0.1,20,12.265076
0.1,48,12.505324
0.1,40,12.711705
0.2,101,13.189682
0.1,28,13.337662
0.1,38,13.532556
0.1,94,13.966154
0.1,21,14.079087
0.1,101,14.526512
0.1,21,14.646944
0.0,101,15.14827
0.1,47,15.386138
0.1,43,15.603246
0.0,45,15.819239
0.0,101,16.292232
0.3,34,16.46056
0.1,13,16.552319
0.0,59,16.824723
0.1,22,16.948995
0.0,101,17.404778
0.1,18,17.509897
0.1,23,17.639107
0.1,15,17.738677
0.0,101,18.184438
0.1,48,18.414508
0.1,22,18.535555
0.0,101,18.988205
0.1,21,19.101559
0.1,38,19.287699
0.0,101,19.758057
0.1,101,20.218532
0.1,101,21.673364
0.1,85,22.0611
0.1,21,22.171708
0.1,39,22.373561
0.1,17,22.47049
0.1,14,22.558251
0.1,15,22.658932
0.1,30,22.816525
0.1,16,22.909642
0.1,20,23.01758
0.0,60,23.316001
0.1,29,23.45564
0.1,59,23.734841
0.1,17,23.835564
0.1,19,23.941861
0.1,21,24.057551
0.1,15,24.147851
0.0,101,24.645611
0.1,51,24.890696
0.1,31,25.052497
0.1,82,25.409045
0.1,82,25.77778
0.2,101,26.242861
0.1,17,26.341015
0.1,101,26.80401
0.0,27,26.946405
0.1,44,27.154484
0.1,101,27.605891
0.1,18,27.709342
