#{"t_start": 1630003588.2728653, "env_id": null}
r,l,t
0.0,56,0.28987
0.0,15,0.383051
0.0,65,0.708605
0.0,42,0.925574
0.0,35,1.108911
0.0,54,1.392941
0.0,35,1.57821
0.0,20,1.689589
0.0,101,2.122688
0.0,101,2.596593
0.0,101,3.08237
0.0,41,3.288593
1.0,25,3.420948
0.0,59,3.705209
0.0,13,3.786451
0.0,31,3.950259
0.0,40,4.156773
0.0,31,4.319457
0.0,30,4.480383
0.0,49,4.711982
0.0,23,4.840626
0.0,42,5.062257
0.0,48,5.309874
0.0,32,5.468695
0.0,29,5.623651
0.0,46,5.849279
0.0,16,5.946028
0.0,40,6.155976
0.0,43,6.377577
0.0,34,6.558595
0.0,37,6.744134
0.0,101,7.183411
0.0,21,7.30573
0.0,26,7.448515
0.0,11,7.523912
0.0,72,7.848004
0.0,26,7.987386
0.0,43,8.201699
0.0,15,8.293064
0.0,19,8.399529
0.0,42,8.616568
0.0,34,8.799193
0.0,101,9.244847
0.0,101,9.689497
0.0,13,9.770828
0.0,101,11.276299
0.0,60,11.572658
0.0,26,11.712429
0.0,48,11.95248
0.0,26,12.0977
0.0,39,12.295534
0.0,31,12.458944
0.0,27,12.605775
0.0,101,13.054931
0.0,68,13.400131
0.0,27,13.543126
1.0,21,13.661295
0.0,56,13.937013
0.0,63,14.225417
0.0,33,14.400903
0.0,60,14.688871
0.0,27,14.840569
0.0,101,15.299755
0.0,46,15.526147
0.0,32,15.69746
0.0,37,15.893038
0.0,50,16.143641
0.0,101,16.620934
0.0,101,17.064393
0.0,21,17.186752
0.0,88,17.569067
0.0,12,17.648373
0.0,41,17.852726
0.0,101,18.306142
0.0,32,18.479575
0.0,101,18.91505
0.0,101,19.367751
0.0,98,19.797106
0.0,44,20.018663
0.0,32,20.190399
0.0,33,20.365763
0.0,22,20.494928
0.0,16,20.589106
0.0,83,20.997865
0.0,11,21.072432
0.0,47,22.3266
0.0,18,22.437242
0.0,53,22.698253
0.0,21,22.81667
0.0,59,23.106309
0.0,56,23.389045
0.0,59,23.683046
0.0,37,23.866419
0.0,40,24.057986
0.0,51,24.292884
0.0,13,24.386498
0.0,101,24.841566
0.0,101,25.312149
0.0,39,25.508447
0.0,79,25.884782
0.0,47,26.11761
0.0,15,26.211874
0.0,54,26.47921
0.0,55,26.743574
0.0,40,26.940333
0.0,17,27.042118
0.0,17,27.14248
0.0,39,27.341063
0.0,64,27.623603
0.0,101,28.068575
0.0,86,28.480319
0.0,39,28.686653
0.0,101,29.14498
0.0,36,29.326228
0.0,14,29.414538
0.0,22,29.540966
0.0,28,29.6927
0.0,27,29.838733
0.0,15,29.9317
0.0,25,30.072113
0.0,101,30.528169
0.0,43,30.740388
0.0,47,30.989459
0.0,19,31.099485
0.0,48,31.343492
0.0,34,31.514729
0.0,62,31.818784
0.0,13,31.900097
0.0,21,32.018333
0.0,41,32.235416
0.0,26,33.422711
0.0,61,33.716491
0.0,17,33.817272
0.0,101,34.302752
0.0,22,34.421348
0.0,101,34.871943
0.0,44,35.087214
0.0,29,35.244829
0.0,33,35.411053
0.0,29,35.565849
0.0,22,35.688013
0.0,32,35.85148
0.0,32,36.022236
0.0,51,36.276779
0.0,56,36.538848
0.0,22,36.662268
0.0,37,36.853095
0.0,52,37.117064
0.0,101,37.584535
0.0,28,37.73374
0.0,33,37.911159
0.0,101,38.367641
0.0,53,38.645018
