#{"t_start": 1628667463.2317789, "env_id": null}
r,l,t
0.0,16,0.068098
0.0,16,0.130404
0.0,16,0.190055
0.0,16,0.249332
0.0,16,0.310481
0.0,16,0.372619
0.0,16,0.434905
0.0,16,0.499507
0.0,16,0.559076
1.0,10,0.606297
0.0,16,0.665357
0.0,16,0.729385
0.0,16,0.791876
0.0,16,0.855487
0.0,15,0.920027
0.0,16,0.978363
0.0,16,1.04252
0.0,16,1.10815
0.0,16,1.167664
0.0,16,1.231165
0.0,16,1.290051
0.0,16,1.349743
0.0,16,1.413386
0.0,16,1.47307
0.0,16,1.532974
0.0,16,1.596942
0.0,16,1.655701
0.0,16,1.719591
0.0,16,1.783487
0.0,16,1.84237
0.0,16,1.909289
0.0,16,1.971735
0.0,16,2.036502
0.0,16,2.095583
0.0,16,2.156583
0.0,16,2.217089
0.0,16,2.278267
0.0,16,2.341209
0.0,16,2.401312
0.0,16,2.465947
0.0,16,2.527792
0.0,16,2.5919
0.0,16,2.653681
0.0,16,2.721814
0.0,16,2.785528
0.0,16,2.844009
1.0,16,2.910154
0.0,16,2.972117
0.0,16,3.031241
0.0,16,3.090997
0.0,16,3.152865
0.0,16,3.211965
0.0,16,3.286487
1.0,13,3.340949
0.0,16,3.415318
0.0,16,3.477918
0.0,16,3.542731
0.0,16,3.605263
0.0,16,3.667766
0.0,16,3.731266
0.0,16,3.79333
0.0,16,3.855144
0.0,16,3.916882
0.0,16,3.977526
0.0,16,4.038005
0.0,16,4.100555
0.0,16,4.163671
0.0,16,4.225631
0.0,16,4.285394
0.0,16,4.347408
0.0,16,4.411525
0.0,16,4.471166
0.0,16,4.531281
0.0,16,4.594016
0.0,16,4.652983
0.0,16,4.717613
0.0,16,4.778429
0.0,16,4.837893
0.0,16,4.901818
0.0,16,4.962906
0.0,16,5.031717
0.0,16,5.096092
0.0,16,5.156559
0.0,16,5.215982
0.0,16,5.281675
0.0,16,5.348275
0.0,16,5.411572
0.0,16,5.472363
0.0,16,5.535411
0.0,16,5.596684
1.0,11,5.649271
0.0,16,5.709904
0.0,15,5.774538
0.0,16,5.833633
0.0,16,5.896159
0.0,16,5.958949
0.0,16,6.021916
0.0,14,6.081153
0.0,16,6.149775
0.0,16,6.212322
0.0,16,6.272002
0.0,15,6.336687
0.0,16,6.397957
1.0,12,6.458306
0.0,12,6.513826
0.0,16,6.582138
0.0,16,6.640723
0.0,16,6.705189
0.0,16,6.772417
0.0,16,6.831957
0.0,16,6.890486
0.0,16,6.949909
0.0,16,7.012535
0.0,16,7.071729
0.0,16,7.131832
0.0,16,7.190254
0.0,16,7.249134
0.0,16,7.313731
0.0,16,7.37911
0.0,16,7.438994
0.0,16,7.503088
0.0,16,7.566977
0.0,16,7.629849
0.0,16,7.6929
0.0,16,7.756126
0.0,16,7.82129
0.0,16,7.88367
0.0,16,7.947132
0.0,16,8.010552
0.0,16,8.073575
0.0,16,8.138309
0.0,16,8.199374
1.0,13,8.258768
0.0,16,8.320197
0.0,16,8.391206
1.0,14,8.45695
0.0,16,8.522127
0.0,16,8.587878
0.0,16,8.648298
0.0,16,8.714958
0.0,16,8.777296
0.0,16,8.839783
0.0,16,8.902177
0.0,16,8.964588
1.0,14,9.030414
0.0,16,9.093141
0.0,16,9.154152
0.0,16,9.217297
0.0,16,9.278261
0.0,16,9.348481
0.0,16,9.412097
0.0,16,9.473376
0.0,16,9.539933
0.0,16,9.600362
0.0,16,9.668061
0.0,16,9.732749
0.0,16,9.791582
0.0,16,9.856628
0.0,16,9.91996
0.0,16,9.982569
0.0,16,10.049032
0.0,16,10.112344
0.0,16,10.172547
0.0,16,10.233682
0.0,16,10.29788
0.0,16,10.357764
0.0,16,10.418196
0.0,16,10.493374
0.0,16,10.55899
0.0,16,10.622949
0.0,16,10.682579
0.0,14,10.746585
0.0,16,10.80865
0.0,16,10.873348
0.0,16,10.937651
0.0,16,10.996995
0.0,16,11.068238
0.0,16,11.131891
0.0,16,11.193929
0.0,16,11.261668
0.0,16,11.322909
0.0,16,11.385775
0.0,16,11.450229
1.0,14,11.512856
0.0,16,11.579695
0.0,16,11.642422
0.0,16,11.702731
0.0,16,11.764284
0.0,16,11.82889
0.0,16,11.892656
0.0,16,11.954486
0.0,16,12.014412
0.0,16,12.072311
0.0,16,12.134221
0.0,16,12.193473
0.0,16,12.257012
0.0,16,12.3192
0.0,16,12.3792
0.0,16,12.4422
0.0,16,12.506093
0.0,16,12.566385
0.0,16,12.630094
0.0,16,12.689326
0.0,16,12.751326
0.0,16,12.809876
0.0,16,12.870964
0.0,16,12.933321
0.0,16,12.992688
0.0,16,13.055522
0.0,16,13.11498
1.0,10,13.161336
0.0,16,13.223926
0.0,16,13.288942
0.0,16,13.348489
0.0,16,13.41233
0.0,16,13.472845
0.0,16,13.532261
0.0,16,13.596464
0.0,16,13.656358
0.0,16,13.722066
0.0,16,13.784242
0.0,16,13.848862
0.0,16,13.908444
1.0,10,13.955832
0.0,16,14.016337
0.0,16,14.079262
0.0,16,14.138033
0.0,16,14.197011
0.0,16,14.255758
0.0,16,14.316064
0.0,16,14.379692
0.0,16,14.440449
0.0,16,14.500068
0.0,16,14.564273
0.0,16,14.624403
0.0,16,14.69145
0.0,16,14.750688
0.0,16,14.815746
0.0,16,14.874687
0.0,16,14.933365
0.0,16,14.996606
0.0,16,15.056711
0.0,16,15.116213
0.0,16,15.176951
0.0,16,15.242955
0.0,16,15.305836
0.0,16,15.365328
0.0,16,15.428872
0.0,16,15.490038
0.0,16,15.553594
0.0,16,15.617953
0.0,16,15.678037
0.0,16,15.737186
0.0,16,15.798345
0.0,16,15.856276
0.0,16,15.919115
0.0,16,15.979251
0.0,16,16.040013
0.0,16,16.102848
0.0,16,16.165376
0.0,16,16.23043
0.0,16,16.289244
0.0,16,16.347542
0.0,16,16.407436
0.0,16,16.467129
0.0,16,16.532992
0.0,16,16.591041
0.0,16,16.649861
0.0,16,16.710366
1.0,16,16.776574
1.0,11,16.828512
0.0,16,16.887197
0.0,16,16.94556
0.0,16,17.004515
0.0,16,17.064155
0.0,16,17.126606
0.0,16,17.192056
0.0,16,17.254727
0.0,16,17.31725
0.0,16,17.37631
0.0,16,17.440914
0.0,16,17.502493
0.0,16,17.561443
0.0,16,17.619714
0.0,16,17.684654
0.0,16,17.748947
0.0,16,17.809946
0.0,16,17.868971
0.0,16,17.927565
0.0,16,17.988184
0.0,16,18.050234
0.0,16,18.108719
0.0,16,18.167266
0.0,16,18.225597
0.0,16,18.28503
0.0,16,18.351951
0.0,16,18.412294
0.0,16,18.473339
0.0,16,18.532603
0.0,16,18.593913
0.0,16,18.65569
0.0,16,18.71838
0.0,16,18.777554
0.0,16,18.838465
0.0,16,18.901582
0.0,16,18.969887
0.0,16,19.035944
0.0,16,19.097206
0.0,16,19.158062
0.0,16,19.219809
0.0,16,19.282243
0.0,16,19.348176
0.0,16,19.411462
0.0,16,19.474829
0.0,16,19.538168
0.0,16,19.612195
0.0,16,19.673718
0.0,16,19.733817
0.0,16,19.794921
0.0,16,19.854184
0.0,16,19.917093
0.0,16,19.976447
0.0,16,20.039567
0.0,16,20.100968
0.0,16,20.160136
0.0,16,20.226119
0.0,16,20.294461
0.0,16,20.353668
0.0,16,20.413762
0.0,16,20.474343
0.0,16,20.537519
0.0,16,20.596452
0.0,16,20.659623
0.0,16,20.720513
0.0,16,20.779205
0.0,16,20.841153
0.0,16,20.902231
0.0,16,20.960623
0.0,16,21.020439
0.0,16,21.087624
0.0,16,21.149654
0.0,16,21.208804
0.0,16,21.269463
0.0,16,21.332124
0.0,16,21.393017
0.0,16,21.457173
0.0,16,21.51844
0.0,16,21.584284
1.0,14,21.643262
0.0,16,21.703586
0.0,16,21.762898
0.0,16,21.824251
0.0,16,21.886585
0.0,16,21.949802
0.0,16,22.009737
0.0,16,22.068731
0.0,16,22.128275
0.0,16,22.190184
0.0,16,22.252432
0.0,16,22.313411
0.0,16,22.374507
0.0,16,22.433906
0.0,16,22.499338
0.0,16,22.56405
0.0,16,22.622874
0.0,16,22.685185
0.0,16,22.744609
0.0,16,22.806854
0.0,16,22.867731
0.0,16,22.926414
0.0,16,22.984687
0.0,16,23.051414
0.0,16,23.117717
0.0,16,23.176942
0.0,16,23.23574
0.0,16,23.29684
0.0,16,23.356864
0.0,16,23.420226
0.0,16,23.480912
0.0,16,23.54025
0.0,16,23.604175
0.0,16,23.662895
0.0,16,23.728088
0.0,16,23.786145
0.0,16,23.848621
0.0,16,23.908302
0.0,16,23.968681
0.0,16,24.032995
0.0,16,24.094927
0.0,16,24.154823
0.0,16,24.218872
0.0,16,24.281577
0.0,16,24.346859
0.0,16,24.406691
0.0,16,24.466379
0.0,16,24.528131
0.0,16,24.591531
0.0,16,24.653864
