#{"t_start": 1629310359.0493524, "env_id": null}
r,l,t
0.0,74,0.366691
0.3,89,0.807299
0.0,79,1.18601
-1.0,88,1.579117
0.1,101,2.07395
0.1,14,2.161194
0.1,51,2.400723
0.1,45,2.630463
0.0,63,2.913841
0.1,101,3.379348
0.5,71,3.734786
0.1,20,3.845717
0.0,101,4.317072
0.0,101,4.795355
0.1,44,5.016784
0.1,101,5.479701
0.1,46,5.692503
0.0,101,6.141982
0.0,101,6.640696
0.0,101,7.11561
0.0,101,7.567821
0.2,101,8.062073
0.1,101,8.514566
0.0,101,8.971908
0.2,101,9.448058
0.1,28,9.58925
0.1,44,10.792661
0.1,18,10.889724
0.1,35,11.06347
0.2,101,11.518332
0.1,35,11.698951
0.1,89,12.097185
0.0,101,12.551979
0.1,14,12.635518
0.0,19,12.739432
0.0,101,13.203031
0.1,85,13.613178
0.0,76,13.96701
0.1,15,14.057732
0.1,57,14.341776
0.0,22,14.46037
0.1,55,14.740188
0.0,101,15.205561
0.1,72,15.527494
0.0,101,15.987873
0.1,75,16.344465
0.4,101,16.814988
0.0,101,17.262177
0.1,56,17.523469
0.1,67,17.831658
0.0,99,18.309343
0.1,20,18.420267
0.2,57,18.704625
0.1,55,18.956689
0.1,18,19.060612
0.0,69,19.367233
0.1,17,19.468904
0.1,48,19.693281
0.1,17,19.789001
0.0,101,20.247031
-0.9,38,21.413054
0.0,62,21.696956
0.0,101,22.19178
0.1,26,22.326456
0.1,91,22.748881
0.1,44,22.957351
0.0,101,23.459033
0.0,101,23.912589
0.1,99,24.374387
0.0,101,24.812652
0.1,24,24.938945
0.1,35,25.118775
0.1,27,25.25894
0.0,101,25.767348
0.0,101,26.243675
0.1,89,26.653718
0.1,16,26.74492
0.1,101,27.173867
0.1,68,27.499447
0.0,101,27.970022
0.1,16,28.064169
0.0,101,28.48705
0.1,32,28.658848
0.1,101,29.109036
0.1,35,29.282772
0.0,82,29.682987
0.1,17,29.777516
0.4,101,30.267866
0.1,24,30.393446
0.0,101,30.883812
0.1,45,32.115704
0.1,34,32.281987
0.2,71,32.608066
0.0,101,33.054865
0.0,101,33.529326
0.0,87,33.925532
0.0,101,34.400525
0.1,24,34.528625
0.0,87,34.934599
0.1,61,35.227645
0.1,57,35.483552
0.1,18,35.584697
0.0,101,36.023713
0.1,50,36.27309
0.1,101,36.725961
0.1,61,37.015812
0.1,89,37.417995
0.1,25,37.550554
0.1,101,37.998968
0.0,30,38.159191
0.1,15,38.258813
0.1,72,38.583237
0.1,89,38.978338
0.2,70,39.339483
0.1,64,39.644436
0.1,57,39.905726
0.1,37,40.08982
0.1,85,40.49786
0.3,101,40.985736
0.0,101,41.443583
0.1,22,41.562666
0.1,37,42.749873
0.1,48,42.977805
0.1,55,43.233795
0.1,71,43.59296
0.1,61,43.868872
0.1,20,43.981947
0.1,101,44.440145
0.1,41,44.653985
0.1,44,44.862264
0.0,101,45.316815
0.3,101,45.824448
0.1,59,46.102985
0.0,101,46.560167
0.1,47,46.795388
0.0,101,47.267224
0.1,101,47.710792
0.1,27,47.85235
0.2,35,48.037756
0.1,60,48.30749
0.0,53,48.575819
0.1,60,48.848076
0.0,101,49.316288
0.1,88,49.718914
0.0,101,50.193832
0.1,69,50.527354
0.0,101,50.996954
-1.0,84,51.373699
0.0,71,51.711251
0.0,101,52.162867
0.2,99,53.655171
0.1,59,53.928639
0.1,48,54.171835
0.0,101,54.615773
0.1,49,54.850721
0.1,59,55.135387
0.1,17,55.234621
-1.0,94,55.662484
0.0,101,56.121709
0.0,101,56.59134
0.3,101,57.059109
0.1,81,57.42893
0.1,47,57.665401
0.0,84,58.049772
0.1,28,58.196717
0.0,79,58.562484
0.1,12,58.641747
0.1,80,58.993733
0.1,18,59.096029
0.0,101,59.551487
0.1,43,59.769918
0.1,70,60.092726
0.0,101,60.563489
0.4,101,61.062829
0.1,26,61.207052
0.0,101,61.667162
0.1,33,61.838233
0.0,101,62.301775
0.1,92,62.768695
0.0,101,64.2257
0.1,21,64.344174
0.0,101,64.793982
0.2,51,65.057492
0.0,96,65.486902
0.1,24,65.616842
0.0,101,66.064326
0.1,59,66.338065
0.1,43,66.561762
0.1,36,66.744561
0.1,42,66.954836
0.1,73,67.286592
0.1,19,67.389335
-1.0,41,67.581156
0.1,26,67.719001
0.0,101,68.179538
0.2,26,68.313364
0.1,47,68.549175
0.1,16,68.644069
0.0,101,69.107074
0.1,16,69.197873
0.1,72,69.538104
0.1,58,69.818032
0.2,98,70.29566
