#{"t_start": 1629307882.9876525, "env_id": null}
r,l,t
0.1,47,0.229613
0.0,101,0.683445
0.1,25,0.817846
0.1,19,0.924445
0.2,101,1.416102
0.0,101,1.88082
0.1,87,2.293216
0.1,62,2.576065
0.0,101,3.074517
0.0,101,3.515868
0.0,49,3.772347
0.1,31,3.937581
0.1,62,4.222293
0.1,59,4.498159
0.1,19,4.602239
0.0,101,5.066804
0.1,26,5.205515
0.1,58,5.482083
0.1,101,5.953429
0.0,101,6.452296
0.1,19,6.553258
0.1,13,6.632704
0.1,73,6.965534
0.1,22,7.082923
0.1,25,7.215768
0.1,62,7.493734
-0.9,89,7.887307
0.1,28,8.030604
0.1,49,8.278753
0.1,14,8.363873
0.1,56,8.624436
0.1,50,8.856954
-0.9,90,9.275298
0.1,70,9.614512
0.2,101,11.07103
0.1,20,11.178933
0.1,73,11.533449
0.0,101,11.979526
0.1,49,12.229218
0.0,101,12.689519
0.1,55,12.95085
0.1,29,13.10509
0.1,15,13.193772
0.1,101,13.646471
0.2,34,13.824994
-0.9,59,14.092086
0.1,35,14.262815
0.1,101,14.697168
0.1,16,14.789871
0.1,91,15.210762
0.3,93,15.637548
0.1,58,15.91781
0.1,30,16.077065
0.1,14,16.160295
0.1,84,16.543051
0.0,95,16.966178
0.0,63,17.254918
0.1,23,17.377839
0.1,101,17.864624
0.0,73,18.208827
0.1,15,18.296874
0.2,76,18.639345
0.1,37,18.826707
0.1,17,18.927128
0.0,101,19.4065
0.1,20,19.517172
0.1,19,19.62378
0.1,80,19.982606
0.0,95,20.435247
0.0,101,21.875075
0.1,37,22.058292
0.0,101,22.498847
0.2,33,22.673039
0.0,101,23.137307
0.0,101,23.592818
0.1,90,23.998039
0.1,42,24.207632
0.1,23,24.329973
0.1,18,24.431983
0.1,54,24.689113
0.1,101,25.150862
0.1,14,25.234572
0.1,18,25.332667
0.1,52,25.57155
0.0,101,26.005291
0.0,101,26.451766
0.1,22,26.566105
0.1,17,26.662126
0.1,34,26.825675
0.0,101,27.300215
0.1,20,27.412598
0.1,25,27.551879
0.1,23,27.676293
0.1,64,27.973031
0.1,14,28.058286
0.1,43,28.278389
0.1,88,28.679839
0.1,91,29.103836
0.0,101,29.546275
0.1,55,29.805783
0.1,22,29.928509
0.0,101,30.393666
0.0,101,30.881026
0.1,51,32.111999
0.0,101,32.550866
0.0,101,33.005316
0.1,82,33.3863
0.1,25,33.515784
0.1,70,33.836544
0.1,23,33.958399
0.0,101,34.409325
0.1,52,34.641898
0.1,21,34.754742
0.0,101,35.252403
0.2,29,35.403367
0.1,97,35.819363
0.1,22,35.934821
0.0,23,36.052965
0.1,101,36.509034
0.1,61,36.799744
0.1,53,37.043462
0.1,14,37.125981
0.0,101,37.570559
0.1,60,37.841255
0.0,101,38.27385
0.1,20,38.381218
0.1,18,38.479985
0.1,88,38.880879
0.1,57,39.137126
0.1,47,39.361774
0.1,101,39.805268
0.1,101,40.246289
0.1,13,40.326514
0.1,25,40.459148
0.1,22,40.574398
0.1,37,40.761852
0.1,27,40.901927
0.2,92,41.310111
0.1,51,41.55449
0.1,20,42.629788
0.0,101,43.092484
0.0,101,43.550097
0.1,62,43.834057
0.1,25,43.962137
0.1,21,44.084535
0.1,20,44.194143
0.2,101,44.650404
