#{"t_start": 1629416973.355611, "env_id": null}
r,l,t
0.0,96,0.47651
0.0,23,0.603046
0.0,23,0.738018
0.0,25,0.872221
0.0,101,1.324692
0.0,101,1.841339
0.0,73,2.213259
0.0,101,2.667527
0.0,32,2.836812
0.0,101,3.330879
0.0,101,3.785633
0.0,23,3.909894
0.0,24,4.031069
0.0,101,4.482399
0.0,66,4.788381
0.0,101,5.266104
0.0,101,5.719235
0.0,30,5.884488
0.0,77,6.230401
0.0,101,6.684177
0.0,101,7.15951
0.0,101,7.610336
0.0,78,7.995996
0.0,15,8.086452
0.0,65,8.386616
0.0,48,8.647657
0.0,101,9.086551
0.0,32,9.243648
0.0,22,9.367572
0.0,78,9.712494
0.0,28,10.855889
0.0,51,11.091259
0.0,33,11.27113
0.0,101,11.751469
0.0,101,12.207505
0.0,19,12.313992
0.0,101,12.779656
0.0,44,12.992095
0.0,17,13.090478
0.0,20,13.205924
0.0,27,13.349553
0.0,49,13.600287
0.0,23,13.728375
0.0,17,13.826901
0.0,101,14.294134
0.0,101,14.763023
0.0,22,14.884087
0.0,101,15.331656
0.0,101,15.789415
0.0,22,15.911602
0.0,59,16.183537
0.0,50,16.417927
0.0,92,16.838589
0.0,101,17.326743
0.0,82,17.705005
-1.0,87,18.124287
0.0,51,18.382414
0.0,101,18.87858
0.0,21,18.995296
0.0,101,19.439171
0.0,101,19.899381
0.0,101,20.398832
0.0,24,20.528465
0.0,16,21.616853
0.0,68,21.932244
0.0,69,22.258593
0.0,15,22.348034
0.0,23,22.47331
0.0,101,22.935503
0.0,14,23.021231
0.0,57,23.280056
-1.0,91,23.696233
0.0,40,23.902976
0.0,60,24.18134
0.0,100,24.666265
-1.0,100,25.129068
0.0,29,25.268188
0.0,79,25.652127
0.0,101,26.09721
0.0,70,26.43019
0.0,25,26.568542
0.0,26,26.710831
0.0,101,27.183886
0.0,69,27.505771
0.0,101,27.99787
0.0,21,28.112292
0.0,101,28.564692
-1.0,55,28.824815
0.0,80,29.182092
0.0,101,29.653511
0.0,101,30.098453
0.0,53,30.362467
0.0,101,30.831882
0.0,29,30.986049
0.0,73,32.319612
0.0,36,32.497536
0.0,56,32.759169
0.0,29,32.902707
0.0,101,33.351221
0.0,19,33.458958
0.0,101,33.921236
0.0,56,34.182976
0.0,29,34.332651
0.0,21,34.451117
0.0,92,34.879741
0.0,59,35.155093
0.0,101,35.609421
0.0,101,36.067602
0.0,36,36.249905
0.0,101,36.726278
0.0,101,37.224774
0.0,55,37.480325
0.0,101,37.946712
0.0,32,38.111033
0.0,91,38.513629
0.0,36,38.698451
0.0,69,39.013795
0.0,62,39.312965
0.0,52,39.561603
0.0,101,40.013958
0.0,69,40.332141
-1.0,60,40.626397
