#{"t_start": 1629312846.4811988, "env_id": null}
r,l,t
0.1,33,0.17378
0.1,27,0.31956
0.0,101,0.796552
0.0,101,1.275623
0.1,21,1.394994
0.1,26,1.53404
0.1,37,1.721813
0.0,101,2.20335
0.1,56,2.475238
0.0,19,2.584555
0.1,23,2.706432
0.1,72,3.032821
0.0,101,3.516578
0.1,69,3.845168
0.2,34,4.024872
0.1,15,4.111506
0.1,29,4.267714
0.1,72,4.60929
0.1,36,4.794484
0.1,60,5.073249
0.1,26,5.214712
0.1,101,5.679792
0.1,101,6.160493
0.1,59,6.432554
-1.0,89,6.852977
0.0,101,7.318785
0.0,101,7.827692
0.1,96,8.284025
0.1,34,8.448691
0.1,45,8.692612
0.1,52,8.940814
0.0,101,9.413395
0.2,76,9.795138
0.1,57,11.042814
0.1,34,11.213004
0.0,97,11.667185
0.0,101,12.140083
0.0,101,12.624067
0.0,101,13.104119
0.1,36,13.294852
0.1,53,13.548285
0.1,68,13.866646
0.1,70,14.20223
0.1,101,14.657851
0.2,84,15.092996
0.1,62,15.387839
0.0,101,15.864253
0.0,79,16.243057
0.1,26,16.378651
0.1,15,16.471028
0.1,59,16.754091
0.0,101,17.233362
0.0,101,17.71106
0.1,61,17.995551
0.0,101,18.459966
0.0,101,18.951693
0.1,31,19.115296
0.0,101,19.591563
0.1,101,20.078322
0.1,101,20.565134
0.1,79,21.932382
0.0,34,22.117564
0.2,52,22.3731
0.3,101,22.895909
0.0,62,23.217467
0.1,58,23.485697
0.0,101,23.97502
0.0,101,24.434776
0.1,101,24.900867
0.1,28,25.046725
0.1,78,25.416499
0.1,22,25.537882
0.1,68,25.869188
0.1,46,26.086044
0.1,18,26.186407
0.0,101,26.673613
0.1,101,27.148294
0.1,101,27.62783
0.0,101,28.092106
0.0,43,28.307919
0.1,101,28.768508
0.1,83,29.166777
0.1,18,29.271019
0.0,57,29.553829
0.1,67,29.896477
0.0,101,30.365942
0.1,47,30.590605
0.1,15,30.679691
0.1,23,30.804786
0.1,63,31.096591
0.1,19,31.201482
0.1,22,31.323308
0.1,72,31.662257
0.1,52,32.891109
0.1,68,33.223418
0.1,32,33.385368
0.0,70,33.7202
0.1,78,34.062753
0.1,101,34.544455
0.1,25,34.679165
0.1,51,34.92288
0.1,75,35.285063
0.1,48,35.513189
0.1,20,35.623368
0.1,32,35.785147
0.1,82,36.177651
0.2,101,36.677038
0.0,33,36.864595
0.1,64,37.194947
0.0,14,37.284423
0.1,68,37.608963
0.1,56,37.871716
0.1,47,38.111207
0.1,21,38.226229
0.1,26,38.362303
0.1,18,38.459987
0.1,26,38.598975
0.1,40,38.80459
0.1,49,39.045789
0.2,26,39.180569
0.1,21,39.295179
0.1,23,39.419353
0.0,101,39.901079
-1.0,97,40.346053
0.1,101,40.829492
0.1,31,40.992319
0.1,21,41.110594
0.0,77,41.47804
0.0,101,41.948718
0.0,101,42.431092
0.0,101,43.874208
0.1,25,44.006777
0.1,28,44.158685
0.2,101,44.655154
0.1,65,44.959793
0.3,73,45.320918
0.0,101,45.796108
0.0,101,46.278569
0.5,101,46.785663
0.1,73,47.131971
0.1,19,47.236109
0.1,23,47.358985
0.0,101,47.848066
0.2,101,48.303234
0.0,101,48.769661
0.2,25,48.89868
0.1,27,49.041898
0.0,101,49.507492
0.1,56,49.777784
0.0,101,50.254799
0.0,101,50.730938
0.1,56,51.001687
0.1,56,51.270675
0.0,21,51.392189
0.1,39,51.60027
0.1,22,51.721195
0.1,64,52.028837
0.0,60,52.326507
0.1,101,52.809785
0.1,37,53.003145
0.1,21,53.118593
0.1,82,53.49952
0.0,101,54.956689
0.1,100,55.411318
0.1,13,55.491527
0.3,101,55.961282
0.0,101,56.434218
0.1,101,56.909246
0.1,57,57.173706
0.1,56,57.439545
0.1,14,57.524377
0.1,36,57.711138
0.1,101,58.202886
0.1,22,58.320325
0.1,25,58.451906
0.1,21,58.568707
0.1,85,59.003391
0.1,39,59.193924
0.1,17,59.290873
0.1,27,59.430319
0.0,101,59.888527
0.1,28,60.036672
0.1,76,60.393583
0.0,45,60.625937
-1.0,99,61.09029
0.1,36,61.274795
0.1,101,61.72957
0.1,63,62.024867
0.1,65,62.351367
0.1,28,62.499243
0.1,74,62.853021
0.1,64,63.153028
0.1,75,63.498972
0.0,101,63.985089
0.1,25,64.117578
0.1,101,65.598494
0.0,86,66.007025
0.1,41,66.208509
0.0,101,66.686912
0.1,26,66.823879
0.1,18,66.925789
0.1,42,67.131686
0.1,22,67.251219
0.1,90,67.668229
0.0,35,67.853695
0.0,59,68.135609
0.1,14,68.221907
0.1,23,68.343517
0.1,101,68.80097
0.1,13,68.884148
0.1,21,69.002445
0.1,14,69.088577
0.1,25,69.22182
0.1,27,69.36236
0.0,101,69.817867
0.1,48,70.040259
0.1,66,70.349852
0.1,59,70.627159
0.1,71,70.993251
0.1,101,71.47833
0.1,20,71.589222
0.1,39,71.781781
0.1,101,72.273121
0.1,49,72.507845
0.1,52,72.77124
0.1,57,73.050621
0.1,96,73.491796
-0.9,42,73.698026
0.1,101,74.158823
0.1,27,74.303943
0.1,54,74.554631
0.1,26,74.695936
0.1,15,74.786723
0.0,101,75.271794
0.0,101,76.718769
0.0,101,77.190322
0.1,47,77.429224
0.2,41,77.64127
0.2,59,77.921952
0.1,70,78.255894
0.1,16,78.346046
0.1,41,78.554205
0.4,101,79.042426
0.1,87,79.449321
0.1,22,79.569605
0.1,74,79.909214
0.1,49,80.150397
0.1,48,80.392701
0.1,13,80.474366
0.1,101,80.913216
0.2,40,81.115771
0.1,22,81.230951
0.1,37,81.420115
0.0,101,81.891819
0.1,59,82.166687
0.1,101,82.629191
0.1,51,82.883685
0.1,17,82.980467
0.0,31,83.139178
0.3,101,83.636508
0.3,71,83.981646
0.1,57,84.252355
0.1,66,84.568947
0.1,21,84.681938
0.1,21,84.796429
0.2,101,85.285833
0.1,28,85.433565
