#{"t_start": 1630045463.6931856, "env_id": null}
r,l,t
0.8,45,0.212884
0.8,40,0.430214
0.8,43,0.630969
0.0,101,1.102627
0.8,48,1.359632
0.8,68,1.675318
0.8,47,1.919257
0.8,42,2.140215
0.8,101,2.643184
0.8,95,3.130199
0.8,27,3.275944
0.8,28,3.42743
0.8,11,3.502865
0.8,22,3.623898
0.8,24,3.756557
0.8,32,3.926089
0.8,16,4.020713
0.8,42,4.22962
0.8,59,4.51858
0.8,13,4.602235
0.8,22,4.727754
0.8,50,4.962377
0.8,22,5.088438
0.8,22,5.207367
0.8,44,5.433846
0.8,19,5.542028
0.8,101,6.010877
0.9,34,6.199072
0.0,101,6.67536
0.0,101,7.155463
0.8,47,7.403334
0.8,46,7.635015
0.8,28,7.783786
0.8,31,7.951939
0.8,76,8.331852
0.8,41,8.549547
0.8,47,8.779211
0.8,40,8.969827
0.8,40,9.179936
0.9,47,9.429764
0.8,20,9.54465
0.0,101,10.006111
0.8,12,10.085607
0.9,51,10.327316
0.8,66,11.685125
0.8,11,11.760166
0.0,101,12.230939
0.8,14,12.320402
0.8,32,12.499428
0.8,54,12.771377
0.8,41,12.969502
0.8,13,13.054188
0.8,18,13.159368
0.8,56,13.445771
0.8,15,13.538015
0.8,13,13.621109
0.8,12,13.700094
0.8,16,13.796802
0.8,30,13.95983
0.8,63,14.265606
0.8,13,14.349574
0.8,101,14.806869
0.0,101,15.265944
0.8,24,15.400432
0.8,24,15.537524
0.8,101,16.012989
0.8,29,16.168294
0.8,91,16.587577
0.8,18,16.69412
0.8,31,16.86114
0.8,22,16.982492
0.8,13,17.067439
0.8,23,17.196695
0.8,51,17.436093
0.8,26,17.581317
0.8,33,17.758934
0.8,23,17.8926
0.8,24,18.030904
0.8,17,18.136058
0.0,101,18.58623
0.8,36,18.771694
0.8,48,19.016887
0.0,101,19.457837
0.8,47,19.704362
0.8,101,20.211972
0.8,18,20.317865
0.8,22,20.441375
0.8,11,20.518886
0.8,17,20.620939
0.8,71,20.95467
0.0,101,21.410486
0.8,26,21.553668
0.8,29,21.707979
0.8,38,22.935629
0.8,55,23.219094
0.8,28,23.374088
0.8,79,23.760738
0.8,26,23.909694
0.8,81,24.302165
0.8,38,24.486938
0.8,33,24.668607
0.8,22,24.801044
0.8,15,24.893532
0.8,66,25.231362
0.0,101,25.697246
0.8,33,25.876678
0.8,62,26.185492
0.8,14,26.272248
0.8,16,26.369537
0.0,101,26.817894
0.8,23,26.949135
0.8,31,27.117186
0.8,67,27.470316
0.8,46,27.696885
0.8,17,27.798708
0.0,101,28.266281
0.8,57,28.558656
0.8,65,28.890679
0.7,84,29.285352
0.0,101,29.754051
0.8,13,29.838302
0.0,101,30.297055
0.8,45,30.513139
0.8,51,30.756286
