#{"t_start": 1629339390.5130067, "env_id": null}
r,l,t
0.1,92,0.448293
0.1,21,0.561967
0.0,101,1.030958
0.0,101,1.511726
0.0,85,1.928895
0.1,19,2.043418
0.1,12,2.118712
0.1,53,2.373894
0.0,101,2.857241
0.1,29,3.009405
0.1,101,3.503339
0.1,25,3.634298
0.0,101,4.112615
0.0,72,4.465869
0.1,55,4.735693
0.1,101,5.194675
0.1,25,5.330803
0.0,101,5.793355
0.0,84,6.172853
0.0,101,6.622317
0.0,34,6.805404
-1.0,86,7.211211
0.1,76,7.570262
0.0,101,8.040826
0.2,101,8.519774
0.1,68,8.840034
0.0,60,9.117585
0.1,66,9.433068
0.1,73,9.760548
0.1,64,11.039136
0.1,16,11.130502
0.1,29,11.281457
0.1,101,11.753339
0.1,53,11.998655
0.0,101,12.456408
0.1,30,12.615018
0.1,19,12.731846
0.0,101,13.193104
0.1,67,13.504063
0.1,41,13.709321
0.0,101,14.194244
0.1,34,14.360043
-1.0,101,14.834968
0.1,16,14.927128
0.1,56,15.189398
0.0,101,15.702929
0.1,36,15.891906
0.0,101,16.361521
0.1,24,16.48877
0.1,83,16.890829
0.1,29,17.040194
0.1,55,17.302073
0.1,79,17.662156
0.1,29,17.818137
0.0,27,17.952767
0.1,60,18.23245
0.1,33,18.401729
0.1,21,18.513613
0.0,19,18.61226
0.1,18,18.718275
0.1,101,19.192632
0.1,37,19.386734
0.1,62,19.705135
0.1,84,20.115377
0.1,101,20.5743
0.1,23,21.671179
0.1,101,22.14651
0.1,60,22.427031
0.1,47,22.650189
0.0,101,23.152584
0.1,56,23.42028
0.1,22,23.536231
0.1,40,23.749527
0.1,96,24.229268
0.0,101,24.706869
0.0,35,24.898559
0.0,101,25.362722
0.1,14,25.450341
0.1,16,25.540278
0.1,101,26.015743
0.1,101,26.473249
0.0,101,26.937159
0.1,58,27.216976
0.0,101,27.703667
0.0,101,28.157052
0.1,26,28.295728
0.1,24,28.419569
0.1,36,28.60545
0.1,54,28.86371
0.1,101,29.325032
0.0,101,29.799739
0.1,78,30.161349
0.1,101,30.655746
0.1,55,30.9114
0.1,86,31.312508
0.0,101,32.787472
0.0,101,33.280427
0.1,20,33.392528
0.1,97,33.864624
0.1,25,33.99701
0.1,33,34.170598
0.0,52,34.425127
0.0,101,34.896368
0.1,82,35.292693
0.1,101,35.778968
0.1,63,36.079506
0.1,54,36.337565
0.1,27,36.477715
0.1,56,36.750308
0.1,21,36.866813
0.0,81,37.252111
0.1,15,37.341916
0.4,101,37.846419
